gender,Age of Death
female,0
female,0
female,1
female,1
female,2
female,3
female,4
female,4
female,7
female,9
female,10
female,11
female,13
female,14
female,15
female,19
female,20
female,21
female,21
female,22
female,22
female,22
female,22
female,23
female,24
female,25
female,27
female,27
female,29
female,29
female,31
female,32
female,33
female,33
female,33
female,33
female,34
female,35
female,37
female,37
female,38
female,42
female,45
female,45
female,45
female,46
female,47
female,48
female,48
female,49
female,51
female,51
female,51
female,52
female,52
female,52
female,54
female,54
female,55
female,55
female,56
female,56
female,56
female,57
female,57
female,58
female,58
female,58
female,59
female,61
female,62
female,63
female,65
female,65
female,65
female,65
female,65
female,66
female,66
female,66
female,66
female,67
female,67
female,68
female,68
female,68
female,69
female,70
female,70
female,71
female,71
female,71
female,72
female,72
female,72
female,72
female,72
female,73
female,73
female,73
female,73
female,74
female,74
female,75
female,76
female,77
female,77
female,77
female,78
female,78
female,78
female,78
female,78
female,78
female,78
female,78
female,79
female,79
female,79
female,79
female,80
female,80
female,81
female,81
female,81
female,82
female,82
female,83
female,83
female,84
female,84
female,85
female,85
female,86
female,86
female,86
female,87
female,87
female,88
female,89
female,89
female,90
female,90
female,91
female,93
female,93
female,93
female,93
female,94
female,104
