Type,Age of Death
male,0
male,0
male,1
male,1
male,1
male,1
male,1
male,2
male,6
male,7
male,11
male,14
male,17
male,19
male,19
male,21
male,22
male,27
male,28
male,31
male,31
male,31
male,32
male,35
male,37
male,39
male,39
male,43
male,44
male,47
male,49
male,50
male,50
male,51
male,52
male,52
male,53
male,53
male,54
male,54
male,55
male,56
male,56
male,57
male,59
male,59
male,59
male,59
male,60
male,60
male,60
male,60
male,60
male,61
male,61
male,61
male,62
male,62
male,63
male,63
male,63
male,63
male,64
male,65
male,65
male,65
male,65
male,66
male,67
male,67
male,68
male,68
male,68
male,69
male,69
male,69
male,70
male,70
male,70
male,71
male,71
male,71
male,71
male,71
male,71
male,72
male,72
male,72
male,72
male,73
male,73
male,74
male,74
male,74
male,74
male,74
male,75
male,75
male,75
male,76
male,76
male,76
male,76
male,77
male,78
male,78
male,78
male,79
male,79
male,79
male,79
male,80
male,80
male,80
male,80
male,80
male,80
male,81
male,81
male,81
male,82
male,82
male,84
male,84
male,84
male,84
male,84
male,84
male,85
male,85
male,85
male,86
male,86
male,86
male,86
male,86
male,87
male,87
male,87
male,88
male,88
male,88
male,88
male,90
male,92
male,93
male,93
male,95
male,95
male,103
