Type,Age of Death
male,0
male,0
male,0
male,0
male,0
male,0
male,0
male,0
male,0
male,0
male,1
male,4
male,8
male,13
male,15
male,20
male,20
male,21
male,22
male,25
male,30
male,32
male,33
male,33
male,34
male,35
male,35
male,36
male,36
male,37
male,39
male,42
male,43
male,46
male,47
male,49
male,49
male,50
male,50
male,50
male,52
male,54
male,54
male,55
male,55
male,56
male,57
male,57
male,58
male,59
male,60
male,60
male,60
male,60
male,61
male,61
male,61
male,61
male,62
male,63
male,63
male,64
male,64
male,64
male,65
male,65
male,65
male,66
male,67
male,67
male,68
male,68
male,68
male,69
male,69
male,69
male,69
male,69
male,70
male,70
male,70
male,70
male,70
male,71
male,71
male,71
male,71
male,71
male,71
male,71
male,72
male,72
male,72
male,72
male,72
male,72
male,73
male,73
male,73
male,74
male,74
male,74
male,74
male,74
male,74
male,74
male,75
male,75
male,76
male,76
male,76
male,76
male,76
male,76
male,77
male,77
male,77
male,78
male,78
male,78
male,78
male,78
male,79
male,79
male,79
male,80
male,80
male,80
male,80
male,80
male,80
male,81
male,81
male,82
male,82
male,82
male,83
male,83
male,83
male,83
male,83
male,83
male,83
male,84
male,84
male,84
male,84
male,84
male,85
male,86
male,86
male,86
male,86
male,87
male,87
male,89
male,89
male,90
male,91
male,91
male,93
male,96
male,97
