Type,Age of Death
female,0
female,0
female,0
female,0
female,0
female,2
female,2
female,3
female,7
female,11
female,15
female,18
female,19
female,22
female,22
female,25
female,34
female,34
female,35
female,35
female,38
female,40
female,41
female,41
female,42
female,43
female,43
female,45
female,47
female,47
female,51
female,51
female,54
female,55
female,55
female,56
female,57
female,58
female,61
female,61
female,62
female,62
female,62
female,63
female,63
female,64
female,64
female,65
female,65
female,65
female,66
female,67
female,67
female,68
female,68
female,68
female,69
female,69
female,69
female,70
female,70
female,71
female,71
female,71
female,71
female,72
female,72
female,72
female,73
female,73
female,74
female,76
female,76
female,76
female,76
female,77
female,77
female,78
female,78
female,78
female,78
female,78
female,79
female,79
female,79
female,79
female,79
female,80
female,80
female,80
female,80
female,80
female,81
female,81
female,82
female,82
female,82
female,83
female,83
female,83
female,83
female,83
female,84
female,84
female,85
female,85
female,85
female,86
female,86
female,86
female,87
female,87
female,87
female,88
female,88
female,88
female,88
female,89
female,89
female,89
female,89
female,90
female,90
female,90
female,91
female,91
female,92
female,92
female,92
female,93
female,93
female,93
female,94
female,94
female,94
female,97
female,100
