Age of Death,Type
6.012320329,Airedale Terrier
12.33390372,Airedale Terrier
14.24218572,Airedale Terrier
10.01220625,Airedale Terrier
11.47969427,Airedale Terrier
9.215605749,Airedale Terrier
9.010152863,Airedale Terrier
10.0204198,Airedale Terrier
13.89447867,Airedale Terrier
15.02532512,Airedale Terrier
10.24492357,Airedale Terrier
6.143623089,Airedale Terrier
6.351699749,Airedale Terrier
6.570727812,Airedale Terrier
10.5378736,Airedale Terrier
10.94296144,Airedale Terrier
11.33185033,Airedale Terrier
12.07107004,Airedale Terrier
11.10746064,Airedale Terrier
11.90668492,Airedale Terrier
11.94798084,Airedale Terrier
13.24287018,Airedale Terrier
12.90337668,Airedale Terrier
13.23739448,Airedale Terrier
10.29694273,Airedale Terrier
12.00262377,Airedale Terrier
12.41067762,Airedale Terrier
11.18948209,Airedale Terrier
8.594113621,Airedale Terrier
10.6255989,Airedale Terrier
11.94239106,Airedale Terrier
6.997946612,Airedale Terrier
12.81576546,Airedale Terrier
10.19301848,Airedale Terrier
10.61727128,Airedale Terrier
9.900068446,Airedale Terrier
6.442048825,Airedale Terrier
