Age of Death,Type
7.85204198,Alaskan Malamute
2.710472279,Alaskan Malamute
12.04095368,Alaskan Malamute
7.893109742,Alaskan Malamute
6.324321241,Alaskan Malamute
7.570157426,Alaskan Malamute
11.10746064,Alaskan Malamute
12.09034908,Alaskan Malamute
13.25108373,Alaskan Malamute
11.02794889,Alaskan Malamute
8.955395848,Alaskan Malamute
6.633812457,Alaskan Malamute
7.972621492,Alaskan Malamute
8.142254164,Alaskan Malamute
8.566735113,Alaskan Malamute
10.95402692,Alaskan Malamute
11.71526352,Alaskan Malamute
11.78085786,Alaskan Malamute
13.25941136,Alaskan Malamute
13.39071412,Alaskan Malamute
13.93566051,Alaskan Malamute
13.92733288,Alaskan Malamute
11.61670089,Alaskan Malamute
10.02327173,Alaskan Malamute
10.49680584,Alaskan Malamute
8.164271047,Alaskan Malamute
0.555669633,Alaskan Malamute
10.81713438,Alaskan Malamute
12.84588182,Alaskan Malamute
8.654346338,Alaskan Malamute
12.46805841,Alaskan Malamute
8.355806525,Alaskan Malamute
8.54471823,Alaskan Malamute
12.29568789,Alaskan Malamute
13.13073238,Alaskan Malamute
8.459844855,Alaskan Malamute
8.0,Alaskan Malamute
7.452315765,Alaskan Malamute
0.580424367,Alaskan Malamute
3.370294319,Alaskan Malamute
11.28907857,Alaskan Malamute
10.40645676,Alaskan Malamute
8.908966461,Alaskan Malamute
0.194387406,Alaskan Malamute
12.45984486,Alaskan Malamute
9.806867442,Alaskan Malamute
10.3489619,Alaskan Malamute
