Age of Death,Type
5.256673511,Alsatian X
8.002623774,Alsatian X
9.497490303,Alsatian X
7.701574264,Alsatian X
14.0039927,Alsatian X
10.23123431,Alsatian X
10.50513347,Alsatian X
15.4002966,Alsatian X
12.36687201,Alsatian X
8.525667351,Alsatian X
13.67282683,Alsatian X
15.00068446,Alsatian X
15.26614191,Alsatian X
15.80287474,Alsatian X
16.54209446,Alsatian X
18.0039927,Alsatian X
10.98140543,Alsatian X
13.9192334,Alsatian X
14.09707963,Alsatian X
16.65697011,Alsatian X
13.48665298,Alsatian X
11.55099247,Alsatian X
13.26751084,Alsatian X
15.64681725,Alsatian X
15.1266256,Alsatian X
10.05874971,Alsatian X
15.2223363,Alsatian X
15.00057039,Alsatian X
15.00057039,Alsatian X
11.79192334,Alsatian X
16.82683094,Alsatian X
