Age of Death,Type
10.97045403,Beagle
10.08886607,Beagle
8.0957107,Beagle
12.50102669,Beagle
11.43041296,Beagle
0.640543007,Beagle
2.913073238,Beagle
4.511978097,Beagle
4.665183664,Beagle
5.240132329,Beagle
9.048482774,Beagle
10.99794661,Beagle
11.62765229,Beagle
5.661761351,Beagle
9.431895962,Beagle
11.53182752,Beagle
13.58795346,Beagle
9.538672142,Beagle
10.19564225,Beagle
17.00467716,Beagle
8.884325804,Beagle
15.48528405,Beagle
13.07859913,Beagle
14.03410906,Beagle
12.36960986,Beagle
13.16894821,Beagle
13.76043806,Beagle
9.686402008,Beagle
10.02589551,Beagle
12.8678987,Beagle
14.23408624,Beagle
2.584417066,Beagle
6.704882501,Beagle
8.249030345,Beagle
10.00684463,Beagle
10.83367556,Beagle
10.90200776,Beagle
12.18879763,Beagle
12.42984257,Beagle
12.55578371,Beagle
13.00193931,Beagle
13.06502396,Beagle
13.22644308,Beagle
13.66461328,Beagle
13.75496235,Beagle
11.64944102,Beagle
13.00752909,Beagle
14.75019057,Beagle
0.131302761,Beagle
0.180584075,Beagle
1.35523614,Beagle
1.713894593,Beagle
2.428359571,Beagle
3.709673739,Beagle
3.999885923,Beagle
4.908852384,Beagle
7.446954141,Beagle
7.734428474,Beagle
8.752794889,Beagle
8.799338353,Beagle
9.292151494,Beagle
9.642710472,Beagle
10.0204198,Beagle
10.47216518,Beagle
11.00330824,Beagle
11.08544376,Beagle
11.93691535,Beagle
12.22165184,Beagle
12.83766826,Beagle
13.03479352,Beagle
13.21822952,Beagle
13.80139174,Beagle
13.82888433,Beagle
14.27241615,Beagle
14.81451061,Beagle
17.53308236,Beagle
0.585900068,Beagle
5.073123431,Beagle
12.01357518,Beagle
10.56798996,Beagle
11.5727812,Beagle
16.21902806,Beagle
9.743896874,Beagle
10.92402464,Beagle
13.02121834,Beagle
9.273100616,Beagle
11.56741958,Beagle
6.45847593,Beagle
11.54266484,Beagle
14.07517682,Beagle
9.790440338,Beagle
12.15046772,Beagle
11.5020518,Beagle
3.808350445,Beagle
12.3613963,Beagle
13.33048141,Beagle
13.97935204,Beagle
0.183436003,Beagle
11.08544376,Beagle
8.479123888,Beagle
10.10814511,Beagle
7.079968058,Beagle
12.58578599,Beagle
14.0039927,Beagle
8.547570157,Beagle
4.005361624,Beagle
4.049167237,Beagle
4.761008442,Beagle
6.28599133,Beagle
6.483230664,Beagle
10.66119097,Beagle
12.5338809,Beagle
14.28599133,Beagle
8.958247775,Beagle
8.99920146,Beagle
11.44410221,Beagle
11.50159708,Beagle
11.55909195,Beagle
6.56251426,Beagle
12.84314397,Beagle
8.484599589,Beagle
15.80276067,Beagle
7.266141912,Beagle
10.71594798,Beagle
13.724846,Beagle
13.87682628,Beagle
7.246976956,Beagle
7.000570386,Beagle
5.858886607,Beagle
11.88227242,Beagle
10.4257358,Beagle
4.002623774,Beagle
6.7816564,Beagle
7.876796715,Beagle
11.93155373,Beagle
12.64065708,Beagle
12.97182295,Beagle
13.00193931,Beagle
13.41820671,Beagle
13.57141227,Beagle
15.98619667,Beagle
3.731576546,Beagle
12.31211499,Beagle
12.74469541,Beagle
2.800821355,Beagle
3.397672827,Beagle
11.54814054,Beagle
1.713780516,Beagle
3.934291581,Beagle
7.449577915,Beagle
8.344855122,Beagle
8.769221994,Beagle
9.177161761,Beagle
10.7048825,Beagle
12.46269678,Beagle
15.10472279,Beagle
11.86025553,Beagle
2.540611453,Beagle
11.7397901,Beagle
2.173739448,Beagle
14.22028291,Beagle
9.27572439,Beagle
11.99988592,Beagle
9.196440794,Beagle
10.01768195,Beagle
6.001254848,Beagle
6.962354552,Beagle
15.30173397,Beagle
10.90474561,Beagle
11.71241159,Beagle
14.32169747,Beagle
