Age of Death,Type
7.95334246,Bearded Collie
14.1764773,Bearded Collie
14.22587269,Bearded Collie
14.72130961,Bearded Collie
11.55646817,Bearded Collie
12.1889117,Bearded Collie
13.76865161,Bearded Collie
12.15605749,Bearded Collie
14.00125485,Bearded Collie
15.17043121,Bearded Collie
14.23123431,Bearded Collie
13.33595711,Bearded Collie
9.41535478,Bearded Collie
11.80823637,Bearded Collie
13.62069359,Bearded Collie
13.65080995,Bearded Collie
13.71925622,Bearded Collie
14.09707963,Bearded Collie
14.14088524,Bearded Collie
14.91843486,Bearded Collie
15.57837098,Bearded Collie
13.59605293,Bearded Collie
13.4974903,Bearded Collie
10.46680356,Bearded Collie
15.69336071,Bearded Collie
15.27709332,Bearded Collie
12.53924253,Bearded Collie
6.784394251,Bearded Collie
12.16963267,Bearded Collie
13.77127538,Bearded Collie
13.2347707,Bearded Collie
14.78986995,Bearded Collie
16.26557153,Bearded Collie
8.766484143,Bearded Collie
12.9471823,Bearded Collie
13.23739448,Bearded Collie
11.75085558,Bearded Collie
9.522245038,Bearded Collie
14.34086242,Bearded Collie
15.69598449,Bearded Collie
11.29899612,Bearded Collie
15.11829797,Bearded Collie
12.26283368,Bearded Collie
13.43737166,Bearded Collie
12.42436687,Bearded Collie
13.24560803,Bearded Collie
