Age of Death,Type
14.1874287,Bichon Frise
9.111453342,Bichon Frise
11.77526808,Bichon Frise
13.37976272,Bichon Frise
8.002623774,Bichon Frise
9.672712754,Bichon Frise
11.39219713,Bichon Frise
12.41603924,Bichon Frise
0.832306639,Bichon Frise
7.140200776,Bichon Frise
11.11008442,Bichon Frise
7.816563997,Bichon Frise
8.221651837,Bichon Frise
9.470225873,Bichon Frise
9.631759069,Bichon Frise
9.639858544,Bichon Frise
9.741273101,Bichon Frise
10.84462697,Bichon Frise
13.20180242,Bichon Frise
10.52156057,Bichon Frise
9.434519735,Bichon Frise
11.11293634,Bichon Frise
11.411248,Bichon Frise
11.78359571,Bichon Frise
13.51676934,Bichon Frise
14.64738763,Bichon Frise
16.24366872,Bichon Frise
16.84588182,Bichon Frise
7.523499886,Bichon Frise
7.734314397,Bichon Frise
14.55441478,Bichon Frise
6.535135752,Bichon Frise
11.31279945,Bichon Frise
12.12035136,Bichon Frise
9.831508099,Bichon Frise
12.60232717,Bichon Frise
9.070499658,Bichon Frise
14.60631987,Bichon Frise
9.930070728,Bichon Frise
7.367556468,Bichon Frise
8.114989733,Bichon Frise
10.13814739,Bichon Frise
10.58179329,Bichon Frise
11.81382615,Bichon Frise
12.03559206,Bichon Frise
12.31200091,Bichon Frise
12.64601871,Bichon Frise
13.52224504,Bichon Frise
14.16826375,Bichon Frise
14.66655259,Bichon Frise
15.61122519,Bichon Frise
15.88763404,Bichon Frise
17.25941136,Bichon Frise
5.891854894,Bichon Frise
6.146475017,Bichon Frise
7.997148072,Bichon Frise
8.024640657,Bichon Frise
8.394136436,Bichon Frise
8.509126169,Bichon Frise
9.119780972,Bichon Frise
10.0094684,Bichon Frise
10.05065024,Bichon Frise
10.88021903,Bichon Frise
11.3155373,Bichon Frise
12.04095368,Bichon Frise
12.12856491,Bichon Frise
12.40234999,Bichon Frise
12.64875656,Bichon Frise
12.99110198,Bichon Frise
14.02315765,Bichon Frise
14.49418207,Bichon Frise
15.00330824,Bichon Frise
15.29637235,Bichon Frise
