Age of Death,Type
12.41341547,Border Collie X
13.85341091,Border Collie X
13.93280858,Border Collie X
14.39276751,Border Collie X
14.40645676,Border Collie X
15.46874287,Border Collie X
12.29557381,Border Collie X
1.593201004,Border Collie X
1.889002966,Border Collie X
2.061601643,Border Collie X
2.381930185,Border Collie X
4.33664157,Border Collie X
4.999315537,Border Collie X
6.001254848,Border Collie X
6.986767055,Border Collie X
10.31610769,Border Collie X
11.64122747,Border Collie X
15.93429158,Border Collie X
11.46064339,Border Collie X
13.724846,Border Collie X
15.0608031,Border Collie X
16.66255989,Border Collie X
16.67351129,Border Collie X
11.33185033,Border Collie X
13.53593429,Border Collie X
8.637919233,Border Collie X
11.96703171,Border Collie X
9.015628565,Border Collie X
10.14647502,Border Collie X
12.03559206,Border Collie X
14.80344513,Border Collie X
15.7562172,Border Collie X
13.39618982,Border Collie X
13.40166553,Border Collie X
15.00616016,Border Collie X
16.24640657,Border Collie X
16.43805613,Border Collie X
15.18685832,Border Collie X
8.771959845,Border Collie X
8.933493041,Border Collie X
9.927332877,Border Collie X
10.11350673,Border Collie X
10.71857175,Border Collie X
11.16495551,Border Collie X
12.16415697,Border Collie X
12.25188227,Border Collie X
12.61590235,Border Collie X
12.66244581,Border Collie X
13.00205339,Border Collie X
13.29500342,Border Collie X
13.60985626,Border Collie X
14.08886607,Border Collie X
14.2696783,Border Collie X
14.36265115,Border Collie X
14.43383527,Border Collie X
14.48859229,Border Collie X
14.5323979,Border Collie X
14.77059092,Border Collie X
14.80903491,Border Collie X
15.03057267,Border Collie X
15.75895505,Border Collie X
15.93976728,Border Collie X
16.00273785,Border Collie X
16.07654574,Border Collie X
16.09856263,Border Collie X
16.54745608,Border Collie X
16.46805841,Border Collie X
14.0204198,Border Collie X
13.06228611,Border Collie X
13.83162218,Border Collie X
17.93554643,Border Collie X
7.704198038,Border Collie X
7.958818161,Border Collie X
8.624115902,Border Collie X
9.012890714,Border Collie X
9.98220397,Border Collie X
10.50775724,Border Collie X
11.15662788,Border Collie X
11.32922656,Border Collie X
11.87132101,Border Collie X
12.00273785,Border Collie X
12.10392425,Border Collie X
13.02657997,Border Collie X
13.3250057,Border Collie X
13.78496464,Border Collie X
13.86721424,Border Collie X
13.95756331,Border Collie X
13.97125257,Border Collie X
14.92117271,Border Collie X
15.01425964,Border Collie X
15.15947981,Border Collie X
15.34553958,Border Collie X
15.54266484,Border Collie X
15.94524298,Border Collie X
15.96440794,Border Collie X
15.99895135,Border Collie X
16.55293178,Border Collie X
16.6186402,Border Collie X
17.1525211,Border Collie X
18.43383527,Border Collie X
8.763746292,Border Collie X
12.62149213,Border Collie X
13.39607575,Border Collie X
9.396189824,Border Collie X
13.47022587,Border Collie X
13.36607347,Border Collie X
13.78770249,Border Collie X
13.8369838,Border Collie X
17.56605065,Border Collie X
11.70146019,Border Collie X
15.35386721,Border Collie X
15.00068446,Border Collie X
15.13198722,Border Collie X
14.46395163,Border Collie X
13.8260324,Border Collie X
12.68708647,Border Collie X
12.41615332,Border Collie X
14.32169747,Border Collie X
15.80002282,Border Collie X
16.47353411,Border Collie X
12.36402008,Border Collie X
10.91284508,Border Collie X
12.05201916,Border Collie X
9.018366416,Border Collie X
10.55430071,Border Collie X
11.74811773,Border Collie X
13.44547114,Border Collie X
14.1929044,Border Collie X
15.73442847,Border Collie X
12.99920146,Border Collie X
12.98015058,Border Collie X
13.00193931,Border Collie X
13.08133698,Border Collie X
10.00125485,Border Collie X
10.02327173,Border Collie X
10.76237737,Border Collie X
15.15400411,Border Collie X
17.01015286,Border Collie X
10.33812457,Border Collie X
11.93155373,Border Collie X
10.89938398,Border Collie X
10.6884554,Border Collie X
13.74937258,Border Collie X
15.906799,Border Collie X
17.97946612,Border Collie X
14.58167922,Border Collie X
7.063540954,Border Collie X
13.30047912,Border Collie X
13.71925622,Border Collie X
15.53445129,Border Collie X
11.15115218,Border Collie X
0.547570157,Border Collie X
13.23750856,Border Collie X
14.32705909,Border Collie X
13.045859,Border Collie X
10.06422542,Border Collie X
13.83983573,Border Collie X
13.84804928,Border Collie X
13.92197125,Border Collie X
13.96292494,Border Collie X
14.36002738,Border Collie X
14.37371663,Border Collie X
15.49064568,Border Collie X
15.99988592,Border Collie X
16.0,Border Collie X
16.01368925,Border Collie X
17.00193931,Border Collie X
17.00205339,Border Collie X
7.819187771,Border Collie X
13.35523614,Border Collie X
16.01916496,Border Collie X
10.91295916,Border Collie X
13.87542779,Border Collie X
15.77823409,Border Collie X
1.568674424,Border Collie X
4.851471595,Border Collie X
13.93292266,Border Collie X
14.06970112,Border Collie X
14.69678303,Border Collie X
14.74058864,Border Collie X
15.00068446,Border Collie X
16.17522245,Border Collie X
8.854095368,Border Collie X
9.615331964,Border Collie X
10.18206708,Border Collie X
12.46817248,Border Collie X
13.23191878,Border Collie X
13.79329227,Border Collie X
14.0807666,Border Collie X
16.99931554,Border Collie X
9.544147844,Border Collie X
5.984827744,Border Collie X
13.00479124,Border Collie X
3.998100933,Border Collie X
13.01574264,Border Collie X
14.50787132,Border Collie X
16.11225188,Border Collie X
12.0,Border Collie X
11.14852841,Border Collie X
13.40451745,Border Collie X
9.962924937,Border Collie X
14.24503765,Border Collie X
13.98767967,Border Collie X
13.7412731,Border Collie X
8.799338353,Border Collie X
11.97809719,Border Collie X
15.00604609,Border Collie X
14.07243897,Border Collie X
13.14430755,Border Collie X
13.86710016,Border Collie X
15.04711385,Border Collie X
16.11487566,Border Collie X
11.16210358,Border Collie X
13.42083048,Border Collie X
13.6590235,Border Collie X
15.33732603,Border Collie X
14.00136893,Border Collie X
14.18754278,Border Collie X
12.01631303,Border Collie X
14.50501939,Border Collie X
15.99988592,Border Collie X
