Age of Death,Type
13.34143281,Border Terrier X
6.395619439,Border Terrier X
14.13278576,Border Terrier X
16.50091262,Border Terrier X
13.00193931,Border Terrier X
11.04175222,Border Terrier X
14.59536847,Border Terrier X
16.12320329,Border Terrier X
14.3544376,Border Terrier X
15.69883641,Border Terrier X
16.0847593,Border Terrier X
12.99920146,Border Terrier X
13.2347707,Border Terrier X
16.42699065,Border Terrier X
14.11350673,Border Terrier X
12.40782569,Border Terrier X
12.91170431,Border Terrier X
9.612480037,Border Terrier X
12.59399954,Border Terrier X
11.88215834,Border Terrier X
7.871206936,Border Terrier X
7.739904175,Border Terrier X
13.3085786,Border Terrier X
11.78918549,Border Terrier X
4.93908282,Border Terrier X
9.500228154,Border Terrier X
12.04928131,Border Terrier X
14.15731234,Border Terrier X
16.01357518,Border Terrier X
17.07049966,Border Terrier X
14.39824321,Border Terrier X
3.646703171,Border Terrier X
7.550878394,Border Terrier X
15.00057039,Border Terrier X
16.00809948,Border Terrier X
9.002053388,Border Terrier X
15.36481862,Border Terrier X
12.50638832,Border Terrier X
