Age of Death,Type
8.34770705,Boxer X
7.605749487,Boxer X
11.59753593,Boxer X
5.333333333,Boxer X
9.27572439,Boxer X
13.3963039,Boxer X
5.596052932,Boxer X
9.095140315,Boxer X
9.127994524,Boxer X
9.338809035,Boxer X
12.61054073,Boxer X
7.216974675,Boxer X
0.514715948,Boxer X
9.565936573,Boxer X
11.31268538,Boxer X
0.317476614,Boxer X
8.38329911,Boxer X
14.63096053,Boxer X
10.16837782,Boxer X
9.316906229,Boxer X
12.90337668,Boxer X
9.010152863,Boxer X
8.865046772,Boxer X
11.72062514,Boxer X
7.915012548,Boxer X
15.52349989,Boxer X
6.340862423,Boxer X
9.303216975,Boxer X
12.44353183,Boxer X
