Age of Death,Type
8.906114533,Bull Mastiff X
8.79945243,Bull Mastiff X
8.873260324,Bull Mastiff X
10.2477755,Bull Mastiff X
11.87394479,Bull Mastiff X
12.99931554,Bull Mastiff X
13.03216975,Bull Mastiff X
7.687770933,Bull Mastiff X
8.739219713,Bull Mastiff X
1.579739904,Bull Mastiff X
8.71994068,Bull Mastiff X
1.62616929,Bull Mastiff X
9.746634725,Bull Mastiff X
5.053958476,Bull Mastiff X
7.556468172,Bull Mastiff X
8.643394935,Bull Mastiff X
9.045859001,Bull Mastiff X
7.977983117,Bull Mastiff X
8.657084189,Bull Mastiff X
1.760323979,Bull Mastiff X
7.449691992,Bull Mastiff X
7.742527949,Bull Mastiff X
9.448323066,Bull Mastiff X
13.83709788,Bull Mastiff X
6.001254848,Bull Mastiff X
