Age of Death,Type
7.006160164,Bull Mastiff
6.338010495,Bull Mastiff
7.033538672,Bull Mastiff
7.917750399,Bull Mastiff
7.424937258,Bull Mastiff
8.525439197,Bull Mastiff
9.771275382,Bull Mastiff
6.014944102,Bull Mastiff
6.559890486,Bull Mastiff
9.834360027,Bull Mastiff
11.73990418,Bull Mastiff
6.384668036,Bull Mastiff
7.000570386,Bull Mastiff
8.432466347,Bull Mastiff
8.654232261,Bull Mastiff
9.38250057,Bull Mastiff
10.57072781,Bull Mastiff
1.385352498,Bull Mastiff
6.442162902,Bull Mastiff
2.475017112,Bull Mastiff
4.648756559,Bull Mastiff
6.899269906,Bull Mastiff
8.125941136,Bull Mastiff
8.418777093,Bull Mastiff
8.832192562,Bull Mastiff
9.341432809,Bull Mastiff
10.12719598,Bull Mastiff
7.490759754,Bull Mastiff
7.783709788,Bull Mastiff
12.46258271,Bull Mastiff
8.273671002,Bull Mastiff
8.156057495,Bull Mastiff
7.129249373,Bull Mastiff
8.087611225,Bull Mastiff
7.830139174,Bull Mastiff
5.727583847,Bull Mastiff
6.020533881,Bull Mastiff
6.548825006,Bull Mastiff
8.114875656,Bull Mastiff
5.401665526,Bull Mastiff
5.637120694,Bull Mastiff
5.875427789,Bull Mastiff
7.685033082,Bull Mastiff
12.12308921,Bull Mastiff
5.002053388,Bull Mastiff
8.774697696,Bull Mastiff
9.472963723,Bull Mastiff
6.176477299,Bull Mastiff
5.2183436,Bull Mastiff
9.245608031,Bull Mastiff
5.092402464,Bull Mastiff
13.00193931,Bull Mastiff
7.315537303,Bull Mastiff
3.958818161,Bull Mastiff
5.593315081,Bull Mastiff
9.092288387,Bull Mastiff
8.232717317,Bull Mastiff
7.841090577,Bull Mastiff
4.569472964,Bull Mastiff
8.435318275,Bull Mastiff
9.048596851,Bull Mastiff
11.67693361,Bull Mastiff
6.485854438,Bull Mastiff
2.855464294,Bull Mastiff
9.924709103,Bull Mastiff
3.679557381,Bull Mastiff
