Age of Death,Type
0.85957107,Bullmastiff
3.707049966,Bullmastiff
7.244239106,Bullmastiff
9.056696327,Bullmastiff
6.776180698,Bullmastiff
9.478325348,Bullmastiff
7.728838695,Bullmastiff
9.4865389,Bullmastiff
9.501746869,Bullmastiff
10.16563997,Bullmastiff
8.574834588,Bullmastiff
0.383185033,Bullmastiff
6.376454483,Bullmastiff
7.449691992,Bullmastiff
7.646703171,Bullmastiff
8.506502396,Bullmastiff
9.541295916,Bullmastiff
11.67134383,Bullmastiff
12.54757016,Bullmastiff
8.0,Bullmastiff
9.130618298,Bullmastiff
9.681040383,Bullmastiff
10.90748346,Bullmastiff
4.673397217,Bullmastiff
6.354551677,Bullmastiff
6.685717545,Bullmastiff
8.065708419,Bullmastiff
8.514715948,Bullmastiff
9.812457221,Bullmastiff
11.18400639,Bullmastiff
8.019050878,Bullmastiff
9.886379192,Bullmastiff
8.002623774,Bullmastiff
11.13746292,Bullmastiff
11.35386721,Bullmastiff
13.6754506,Bullmastiff
7.901323295,Bullmastiff
8.525667351,Bullmastiff
10.12457221,Bullmastiff
11.60563541,Bullmastiff
9.806867442,Bullmastiff
8.169746749,Bullmastiff
