Age of Death,Type
0.728154232,American Bulldog X
2.001254848,American Bulldog X
4.514601871,American Bulldog X
5.002053388,American Bulldog X
5.642596395,American Bulldog X
7.000570386,American Bulldog X
7.827401323,American Bulldog X
9.437257586,American Bulldog X
2.212069359,American Bulldog X
15.00057039,American Bulldog X
11.11728097,American Bulldog X
2.316221766,American Bulldog X
10.82692131,American Bulldog X
12.90896646,American Bulldog X
1.976728268,American Bulldog X
2.480492813,American Bulldog X
0.752908966,American Bulldog X
4.440793977,American Bulldog X
5.984827744,American Bulldog X
8.960985626,American Bulldog X
9.73853525,American Bulldog X
14.67750399,American Bulldog X
5.98220397,American Bulldog X
6.743326489,American Bulldog X
8.427104723,American Bulldog X
15.44969199,American Bulldog X
14.7158339,American Bulldog X
2.00673055,American Bulldog X
12.09034908,American Bulldog X
