Age of Death,Type
6.776180698,American Bulldog
11.23613963,American Bulldog
10.58441707,American Bulldog
1.423568332,American Bulldog
1.505703856,American Bulldog
1.596167009,American Bulldog
1.678188455,American Bulldog
1.779488935,American Bulldog
2.192904403,American Bulldog
2.28599133,American Bulldog
2.505019393,American Bulldog
2.784280173,American Bulldog
3.186744239,American Bulldog
3.383869496,American Bulldog
4.320328542,American Bulldog
4.533766826,American Bulldog
4.563997262,American Bulldog
4.689824321,American Bulldog
4.851471595,American Bulldog
5.335957107,American Bulldog
6.25039927,American Bulldog
6.368240931,American Bulldog
6.417408168,American Bulldog
7.498859229,American Bulldog
8.424366872,American Bulldog
8.574834588,American Bulldog
7.936915355,American Bulldog
10.36812685,American Bulldog
3.717887292,American Bulldog
7.241501255,American Bulldog
7.315423226,American Bulldog
14.39824321,American Bulldog
10.61179557,American Bulldog
6.198494182,American Bulldog
9.76306183,American Bulldog
3.088181611,American Bulldog
8.457107004,American Bulldog
9.004677162,American Bulldog
9.62616929,American Bulldog
13.99863107,American Bulldog
15.49623546,American Bulldog
13.46189824,American Bulldog
10.16563997,American Bulldog
1.429158111,American Bulldog
4.435318275,American Bulldog
4.51186402,American Bulldog
7.000570386,American Bulldog
7.8275154,American Bulldog
8.306525211,American Bulldog
8.68708647,American Bulldog
8.708989277,American Bulldog
9.658909423,American Bulldog
9.743896874,American Bulldog
10.97045403,American Bulldog
11.12103582,American Bulldog
11.15925165,American Bulldog
11.4002966,American Bulldog
11.51540041,American Bulldog
11.61932466,American Bulldog
12.70362765,American Bulldog
12.84040611,American Bulldog
13.22370522,American Bulldog
14.40919462,American Bulldog
0.405087839,American Bulldog
6.921172713,American Bulldog
8.216290212,American Bulldog
9.511293634,American Bulldog
7.649441022,American Bulldog
1.675450605,American Bulldog
8.752794889,American Bulldog
10.49691992,American Bulldog
9.87816564,American Bulldog
10.99235683,American Bulldog
7.999885923,American Bulldog
12.59958932,American Bulldog
5.117043121,American Bulldog
3.389345197,American Bulldog
10.06433949,American Bulldog
3.687770933,American Bulldog
9.746634725,American Bulldog
8.824093087,American Bulldog
13.08133698,American Bulldog
7.975359343,American Bulldog
9.393451974,American Bulldog
6.554414784,American Bulldog
10.37371663,American Bulldog
11.7507415,American Bulldog
9.859000684,American Bulldog
0.194273329,American Bulldog
14.3434862,American Bulldog
9.683664157,American Bulldog
8.010837326,American Bulldog
11.89322382,American Bulldog
1.697467488,American Bulldog
6.461327858,American Bulldog
9.475587497,American Bulldog
10.42562172,American Bulldog
0.498174766,American Bulldog
7.321013005,American Bulldog
5.401779603,American Bulldog
9.382614648,American Bulldog
11.80549852,American Bulldog
8.306525211,American Bulldog
9.932922656,American Bulldog
11.06354095,American Bulldog
6.201461138,American Bulldog
10.7103582,American Bulldog
5.3908282,American Bulldog
10.49680584,American Bulldog
8.449007529,American Bulldog
6.239561944,American Bulldog
4.005475702,American Bulldog
11.01437372,American Bulldog
9.708418891,American Bulldog
2.964978325,American Bulldog
3.895847593,American Bulldog
