Age of Death,Type
12.4516313,Basset Hound
2.138147388,Basset Hound
7.865845311,Basset Hound
9.056810404,Basset Hound
9.388090349,Basset Hound
13.41820671,Basset Hound
14.65012548,Basset Hound
13.07859913,Basset Hound
8.489961214,Basset Hound
9.00752909,Basset Hound
10.05612594,Basset Hound
10.21492129,Basset Hound
10.83367556,Basset Hound
11.86573123,Basset Hound
11.95060461,Basset Hound
14.0039927,Basset Hound
12.03000228,Basset Hound
13.02657997,Basset Hound
14.49680584,Basset Hound
11.2113849,Basset Hound
2.592744695,Basset Hound
7.405772302,Basset Hound
8.889801506,Basset Hound
9.596052932,Basset Hound
9.793178188,Basset Hound
11.78370979,Basset Hound
12.7253023,Basset Hound
13.24560803,Basset Hound
13.27024869,Basset Hound
12.70625143,Basset Hound
13.43737166,Basset Hound
9.582363678,Basset Hound
15.09103354,Basset Hound
6.047912389,Basset Hound
9.590691307,Basset Hound
10.72142368,Basset Hound
13.93828428,Basset Hound
14.14373717,Basset Hound
9.577002053,Basset Hound
7.304471823,Basset Hound
9.678188455,Basset Hound
8.0,Basset Hound
11.35112936,Basset Hound
11.66039243,Basset Hound
9.023842117,Basset Hound
11.84109058,Basset Hound
8.804814054,Basset Hound
13.045859,Basset Hound
9.174423911,Basset Hound
11.26887976,Basset Hound
13.51676934,Basset Hound
11.35934292,Basset Hound
11.94524298,Basset Hound
12.64875656,Basset Hound
15.4934976,Basset Hound
12.30937714,Basset Hound
7.791809263,Basset Hound
10.07243897,Basset Hound
13.34690851,Basset Hound
6.099817477,Basset Hound
12.0,Basset Hound
8.112137805,Basset Hound
9.067761807,Basset Hound
10.43109742,Basset Hound
8.082135524,Basset Hound
9.292151494,Basset Hound
9.891854894,Basset Hound
