Age of Death,Type
10.03410906,Bearded Collie X
11.2223363,Bearded Collie X
11.75359343,Bearded Collie X
14.091718,Bearded Collie X
11.49612138,Bearded Collie X
12.0,Bearded Collie X
11.84120465,Bearded Collie X
9.954711385,Bearded Collie X
10.40383299,Bearded Collie X
12.01368925,Bearded Collie X
12.2791467,Bearded Collie X
12.31485284,Bearded Collie X
13.85078713,Bearded Collie X
11.72883869,Bearded Collie X
17.03764545,Bearded Collie X
14.36265115,Bearded Collie X
18.44204883,Bearded Collie X
12.62137805,Bearded Collie X
14.23671002,Bearded Collie X
15.77812001,Bearded Collie X
14.21492129,Bearded Collie X
8.703513575,Bearded Collie X
13.91090577,Bearded Collie X
