Age of Death,Type
12.71720283,Bedlington Terrier
6.699406799,Bedlington Terrier
14.57620351,Bedlington Terrier
3.509810632,Bedlington Terrier
17.65628565,Bedlington Terrier
15.12924937,Bedlington Terrier
14.00136893,Bedlington Terrier
9.952087611,Bedlington Terrier
8.777549624,Bedlington Terrier
12.1779603,Bedlington Terrier
12.98288843,Bedlington Terrier
13.72473192,Bedlington Terrier
17.31416838,Bedlington Terrier
10.36812685,Bedlington Terrier
11.11008442,Bedlington Terrier
11.9835729,Bedlington Terrier
13.2976272,Bedlington Terrier
13.93554643,Bedlington Terrier
14.56251426,Bedlington Terrier
13.39904175,Bedlington Terrier
16.53924253,Bedlington Terrier
15.74252795,Bedlington Terrier
5.864476386,Bedlington Terrier
10.38193018,Bedlington Terrier
10.12445813,Bedlington Terrier
11.95881816,Bedlington Terrier
13.62902122,Bedlington Terrier
14.9486653,Bedlington Terrier
9.957449236,Bedlington Terrier
14.00125485,Bedlington Terrier
7.022587269,Bedlington Terrier
7.942505133,Bedlington Terrier
5.993041296,Bedlington Terrier
13.27036277,Bedlington Terrier
12.9745608,Bedlington Terrier
12.85135752,Bedlington Terrier
10.43657312,Bedlington Terrier
14.71047228,Bedlington Terrier
4.914442163,Bedlington Terrier
