Age of Death,Type
13.70830481,Bichon Frise X
4.399612138,Bichon Frise X
5.423568332,Bichon Frise X
6.039584759,Bichon Frise X
9.683778234,Bichon Frise X
9.426306183,Bichon Frise X
2.047798312,Bichon Frise X
5.741273101,Bichon Frise X
8.930869268,Bichon Frise X
9.963039014,Bichon Frise X
11.93680128,Bichon Frise X
13.82614648,Bichon Frise X
3.331850331,Bichon Frise X
13.03216975,Bichon Frise X
11.96155601,Bichon Frise X
4.16415697,Bichon Frise X
3.964293863,Bichon Frise X
17.00193931,Bichon Frise X
12.00821355,Bichon Frise X
13.19632672,Bichon Frise X
