Age of Death,Type
9.45094684,Border Collie
13.00741501,Border Collie
14.954141,Border Collie
4.147729865,Border Collie
7.999771846,Border Collie
9.853524983,Border Collie
11.1321013,Border Collie
11.20864705,Border Collie
11.20864705,Border Collie
12.45722108,Border Collie
13.00193931,Border Collie
13.08692676,Border Collie
15.93965321,Border Collie
14.29158111,Border Collie
4.03559206,Border Collie
4.604950947,Border Collie
8.73100616,Border Collie
11.70693589,Border Collie
12.12308921,Border Collie
13.52498289,Border Collie
14.57072781,Border Collie
1.086812685,Border Collie
1.505817933,Border Collie
1.774013233,Border Collie
1.795916039,Border Collie
1.839721652,Border Collie
2.001368925,Border Collie
2.05338809,Border Collie
2.069815195,Border Collie
2.332648871,Border Collie
2.587154917,Border Collie
2.688569473,Border Collie
2.787132101,Border Collie
3.000684463,Border Collie
3.003308236,Border Collie
3.096395163,Border Collie
3.446954141,Border Collie
3.613848962,Border Collie
4.0957107,Border Collie
4.31211499,Border Collie
4.583048141,Border Collie
4.922655715,Border Collie
5.001939311,Border Collie
5.06764773,Border Collie
5.160848734,Border Collie
5.431781885,Border Collie
5.486424823,Border Collie
5.601528633,Border Collie
5.850673055,Border Collie
6.302532512,Border Collie
6.370864705,Border Collie
7.000456308,Border Collie
7.405772302,Border Collie
7.496121378,Border Collie
7.764430755,Border Collie
7.934291581,Border Collie
8.440793977,Border Collie
8.503650468,Border Collie
8.525553274,Border Collie
9.021104266,Border Collie
9.20727812,Border Collie
9.399041752,Border Collie
9.48380105,Border Collie
10.00136893,Border Collie
10.06696327,Border Collie
10.34074835,Border Collie
10.66107689,Border Collie
10.94592745,Border Collie
11.00057039,Border Collie
11.0553274,Border Collie
11.32375086,Border Collie
11.53456537,Border Collie
11.54540269,Border Collie
11.72062514,Border Collie
13.09514031,Border Collie
14.2532512,Border Collie
8.227241615,Border Collie
9.804129592,Border Collie
11.00604609,Border Collie
12.67613507,Border Collie
13.14715948,Border Collie
13.94375998,Border Collie
14.0039927,Border Collie
12.07118412,Border Collie
11.51266256,Border Collie
13.84531143,Border Collie
13.85067305,Border Collie
15.7616929,Border Collie
15.77264431,Border Collie
16.01083733,Border Collie
1.215605749,Border Collie
8.99920146,Border Collie
9.883641342,Border Collie
11.76716861,Border Collie
12.44889345,Border Collie
12.50365047,Border Collie
12.56399726,Border Collie
12.65697011,Border Collie
13.25929728,Border Collie
13.8315081,Border Collie
13.85352498,Border Collie
14.05601186,Border Collie
14.46406571,Border Collie
14.65833904,Border Collie
13.2183436,Border Collie
12.45174538,Border Collie
11.6605065,Border Collie
11.7507415,Border Collie
12.89242528,Border Collie
14.53524983,Border Collie
14.72963723,Border Collie
15.18400639,Border Collie
16.29021218,Border Collie
16.33116587,Border Collie
16.88421173,Border Collie
15.11829797,Border Collie
17.17716176,Border Collie
1.01026694,Border Collie
4.426990646,Border Collie
5.001939311,Border Collie
6.614533425,Border Collie
6.754277892,Border Collie
8.818503308,Border Collie
9.056810404,Border Collie
10.5378736,Border Collie
10.61727128,Border Collie
11.68777093,Border Collie
12.49543692,Border Collie
13.70282911,Border Collie
10.06970112,Border Collie
10.29146703,Border Collie
12.72279261,Border Collie
10.63779102,Border Collie
12.87599817,Border Collie
17.69472964,Border Collie
11.93143965,Border Collie
14.61453342,Border Collie
15.29637235,Border Collie
13.63438284,Border Collie
14.88295688,Border Collie
1.349760438,Border Collie
11.43862651,Border Collie
13.6535478,Border Collie
9.026579968,Border Collie
9.930184805,Border Collie
9.946497833,Border Collie
10.88558065,Border Collie
11.59753593,Border Collie
12.14784394,Border Collie
13.38809035,Border Collie
13.9247091,Border Collie
15.16221766,Border Collie
16.36402008,Border Collie
0.837554187,Border Collie
6.491330139,Border Collie
6.661076888,Border Collie
9.002053388,Border Collie
9.122404746,Border Collie
11.94239106,Border Collie
12.33390372,Border Collie
13.36059776,Border Collie
13.57415013,Border Collie
13.82329455,Border Collie
13.91101985,Border Collie
13.94649783,Border Collie
14.77344285,Border Collie
14.86105407,Border Collie
15.25256674,Border Collie
15.27983117,Border Collie
16.08213552,Border Collie
16.16689482,Border Collie
16.91159023,Border Collie
17.51117956,Border Collie
14.05065024,Border Collie
3.394820899,Border Collie
9.001939311,Border Collie
9.404517454,Border Collie
9.853410906,Border Collie
9.960187086,Border Collie
10.03684691,Border Collie
10.42288387,Border Collie
10.57357974,Border Collie
11.00057039,Border Collie
11.0608031,Border Collie
11.47980835,Border Collie
11.75085558,Border Collie
11.99441022,Border Collie
11.99988592,Border Collie
12.04369154,Border Collie
12.05464294,Border Collie
12.1066621,Border Collie
12.15594342,Border Collie
12.18047,Border Collie
12.23534109,Border Collie
12.33937942,Border Collie
12.49555099,Border Collie
12.55304586,Border Collie
12.89790098,Border Collie
12.93360712,Border Collie
12.9581337,Border Collie
12.96075747,Border Collie
12.99931554,Border Collie
12.99931554,Border Collie
13.00193931,Border Collie
13.04312115,Border Collie
13.08955054,Border Collie
13.09787817,Border Collie
13.14978325,Border Collie
13.17716176,Border Collie
13.2128679,Border Collie
13.23750856,Border Collie
