Age of Death,Type
8.33937942,Border Terrier
14.82819986,Border Terrier
14.91295916,Border Terrier
1.675450605,Border Terrier
2.001254848,Border Terrier
6.255989049,Border Terrier
7.099133014,Border Terrier
10.0094684,Border Terrier
10.39276751,Border Terrier
10.44204883,Border Terrier
11.88489619,Border Terrier
16.78291125,Border Terrier
4.506502396,Border Terrier
14.7048825,Border Terrier
15.08008214,Border Terrier
15.47421857,Border Terrier
13.60974219,Border Terrier
12.12867899,Border Terrier
12.75279489,Border Terrier
13.09240246,Border Terrier
14.88295688,Border Terrier
13.97399042,Border Terrier
9.116929044,Border Terrier
10.00125485,Border Terrier
14.55715264,Border Terrier
14.67214237,Border Terrier
0.084873374,Border Terrier
6.12183436,Border Terrier
8.78838695,Border Terrier
11.97250742,Border Terrier
12.65982204,Border Terrier
12.84052019,Border Terrier
13.73294547,Border Terrier
14.58453114,Border Terrier
16.56388319,Border Terrier
13.81793292,Border Terrier
5.733059548,Border Terrier
7.523613963,Border Terrier
11.86299338,Border Terrier
11.87394479,Border Terrier
12.55852156,Border Terrier
12.61601643,Border Terrier
12.65697011,Border Terrier
13.00193931,Border Terrier
13.12799452,Border Terrier
13.41820671,Border Terrier
13.53582021,Border Terrier
13.79865389,Border Terrier
13.98767967,Border Terrier
14.08339037,Border Terrier
14.34086242,Border Terrier
14.57631759,Border Terrier
14.74868811,Border Terrier
14.81439653,Border Terrier
15.04163815,Border Terrier
15.43052704,Border Terrier
15.49623546,Border Terrier
15.99988592,Border Terrier
16.18058407,Border Terrier
16.1889117,Border Terrier
17.76579968,Border Terrier
14.85831622,Border Terrier
16.15320557,Border Terrier
19.89322382,Border Terrier
11.48790783,Border Terrier
11.67408168,Border Terrier
13.07049966,Border Terrier
15.14293863,Border Terrier
3.175906913,Border Terrier
6.025895505,Border Terrier
7.003308236,Border Terrier
9.040269222,Border Terrier
10.09434178,Border Terrier
10.8718914,Border Terrier
10.91295916,Border Terrier
10.92391056,Border Terrier
12.49817477,Border Terrier
12.9636094,Border Terrier
13.63449692,Border Terrier
13.87805156,Border Terrier
14.67202829,Border Terrier
14.69119325,Border Terrier
14.50775724,Border Terrier
15.20864705,Border Terrier
15.52635181,Border Terrier
1.842459503,Border Terrier
5.431781885,Border Terrier
6.176591376,Border Terrier
8.821241159,Border Terrier
9.084074835,Border Terrier
9.262149213,Border Terrier
9.568674424,Border Terrier
10.42299795,Border Terrier
10.60358202,Border Terrier
10.80629706,Border Terrier
11.42767511,Border Terrier
11.67967146,Border Terrier
