Age of Death,Type
7.726214921,Boston Terrier
11.86584531,Boston Terrier
8.205338809,Boston Terrier
4.122975131,Boston Terrier
13.52486881,Boston Terrier
10.49418207,Boston Terrier
13.63985854,Boston Terrier
3.808350445,Boston Terrier
3.040548964,Boston Terrier
4.700889802,Boston Terrier
5.962924937,Boston Terrier
7.594684006,Boston Terrier
11.41136208,Boston Terrier
11.84656628,Boston Terrier
13.13347023,Boston Terrier
14.45300023,Boston Terrier
7.441364362,Boston Terrier
12.73899156,Boston Terrier
8.594113621,Boston Terrier
5.637120694,Boston Terrier
5.990303445,Boston Terrier
8.002623774,Boston Terrier
9.738421173,Boston Terrier
9.995893224,Boston Terrier
1.25119781,Boston Terrier
10.00125485,Boston Terrier
0.273785079,Boston Terrier
8.930869268,Boston Terrier
