Age of Death,Type
10.33812457,Boxer
12.30104951,Boxer
4.539356605,Boxer
7.055441478,Boxer
8.996463609,Boxer
9.234656628,Boxer
9.565936573,Boxer
10.94855122,Boxer
11.36196669,Boxer
11.55087839,Boxer
11.8220397,Boxer
12.27104723,Boxer
12.2846224,Boxer
14.5159708,Boxer
9.20727812,Boxer
1.49486653,Boxer
7.759069131,Boxer
9.626283368,Boxer
10.63928816,Boxer
1.941136208,Boxer
2.154574492,Boxer
2.825347935,Boxer
6.332648871,Boxer
8.632329455,Boxer
9.155258955,Boxer
11.99988592,Boxer
9.875313712,Boxer
5.568788501,Boxer
8.169632672,Boxer
9.308578599,Boxer
5.368925394,Boxer
8.845995893,Boxer
10.02589551,Boxer
10.3434862,Boxer
10.74880219,Boxer
11.62480037,Boxer
12.07380789,Boxer
8.59137577,Boxer
9.015628565,Boxer
9.084188912,Boxer
9.672712754,Boxer
10.55156286,Boxer
12.457107,Boxer
12.70898928,Boxer
12.9745608,Boxer
1.620693589,Boxer
11.48243212,Boxer
12.67339722,Boxer
7.791809263,Boxer
9.864362309,Boxer
10.39835729,Boxer
11.67145791,Boxer
10.77606662,Boxer
7.15662788,Boxer
7.723362993,Boxer
8.566621036,Boxer
10.16837782,Boxer
4.596737394,Boxer
7.255190509,Boxer
7.392083048,Boxer
7.802760666,Boxer
8.413415469,Boxer
8.7911248,Boxer
8.963723477,Boxer
9.002053388,Boxer
9.363335615,Boxer
10.00136893,Boxer
10.08339037,Boxer
10.55430071,Boxer
11.57837098,Boxer
11.70693589,Boxer
11.57563313,Boxer
12.3340178,Boxer
12.44900753,Boxer
13.00467716,Boxer
9.144421629,Boxer
6.81805451,Boxer
7.01699749,Boxer
9.445471138,Boxer
9.702829112,Boxer
12.19153548,Boxer
4.010837326,Boxer
6.023157655,Boxer
10.87462925,Boxer
11.57551905,Boxer
9.013004791,Boxer
5.930070728,Boxer
6.543349304,Boxer
7.917750399,Boxer
9.62616929,Boxer
10.01232033,Boxer
10.88558065,Boxer
11.12651152,Boxer
11.17031713,Boxer
11.6550308,Boxer
12.06285649,Boxer
12.07939767,Boxer
2.713096053,Boxer
5.634382843,Boxer
10.16826375,Boxer
10.64750171,Boxer
11.03068674,Boxer
11.19221994,Boxer
11.42543137,Boxer
12.55840748,Boxer
