Age of Death,Type
8.350330824,Bull Terrier
11.04711385,Bull Terrier
2.7816564,Bull Terrier
11.67419576,Bull Terrier
9.37976272,Bull Terrier
8.429728496,Bull Terrier
12.63244353,Bull Terrier
11.49623546,Bull Terrier
10.81987223,Bull Terrier
11.2168606,Bull Terrier
12.37234771,Bull Terrier
13.00193931,Bull Terrier
13.45653662,Bull Terrier
14.84451289,Bull Terrier
1.62616929,Bull Terrier
9.689139859,Bull Terrier
6.053274013,Bull Terrier
11.5837326,Bull Terrier
12.19438741,Bull Terrier
13.33869496,Bull Terrier
6.515970796,Bull Terrier
10.36276523,Bull Terrier
10.39561944,Bull Terrier
15.94786676,Bull Terrier
5.69461556,Bull Terrier
9.002053388,Bull Terrier
11.00057039,Bull Terrier
7.950604609,Bull Terrier
13.00741501,Bull Terrier
13.9301848,Bull Terrier
8.670773443,Bull Terrier
12.99931554,Bull Terrier
12.6186402,Bull Terrier
