Age of Death,Type
10.6939311,Bulldog
11.69872234,Bulldog
8.761008442,Bulldog
7.386721424,Bulldog
2.866415697,Bulldog
3.838466804,Bulldog
4.71994068,Bulldog
7.01425964,Bulldog
7.58110883,Bulldog
9.240132329,Bulldog
10.05601186,Bulldog
11.00057039,Bulldog
4.0,Bulldog
8.052019165,Bulldog
11.44410221,Bulldog
1.073123431,Bulldog
3.438626512,Bulldog
9.864362309,Bulldog
7.436002738,Bulldog
9.735797399,Bulldog
7.622176591,Bulldog
4.780287474,Bulldog
6.381816108,Bulldog
4.134040611,Bulldog
5.130618298,Bulldog
7.810974219,Bulldog
0.194273329,Bulldog
6.001254848,Bulldog
8.073807894,Bulldog
3.246976956,Bulldog
11.22245038,Bulldog
1.492128679,Bulldog
4.361396304,Bulldog
4.481861739,Bulldog
5.691877709,Bulldog
8.783025325,Bulldog
8.886949578,Bulldog
9.179899612,Bulldog
9.272986539,Bulldog
9.368811316,Bulldog
10.40098106,Bulldog
13.00193931,Bulldog
13.08955054,Bulldog
4.180698152,Bulldog
5.223705225,Bulldog
2.088866073,Bulldog
2.3544376,Bulldog
2.442162902,Bulldog
3.813826146,Bulldog
4.251768195,Bulldog
4.273785079,Bulldog
5.001939311,Bulldog
5.325119781,Bulldog
5.62616929,Bulldog
6.001368925,Bulldog
6.173739448,Bulldog
6.513232945,Bulldog
6.792607803,Bulldog
7.260780287,Bulldog
7.307095597,Bulldog
7.411248004,Bulldog
7.619324663,Bulldog
7.802760666,Bulldog
7.841090577,Bulldog
7.893109742,Bulldog
7.931439653,Bulldog
7.956194387,Bulldog
8.000953209,Bulldog
8.117613507,Bulldog
8.136892539,Bulldog
8.322952316,Bulldog
8.33937942,Bulldog
8.539356605,Bulldog
8.572096737,Bulldog
8.925279489,Bulldog
9.032169747,Bulldog
9.204540269,Bulldog
9.264772987,Bulldog
9.582363678,Bulldog
9.637234771,Bulldog
9.648186174,Bulldog
9.839835729,Bulldog
9.987679671,Bulldog
10.00125485,Bulldog
10.03422313,Bulldog
10.14921287,Bulldog
10.28051563,Bulldog
10.37645448,Bulldog
10.6939311,Bulldog
10.76511522,Bulldog
10.97592973,Bulldog
11.32922656,Bulldog
11.94512891,Bulldog
12.14499201,Bulldog
12.15594342,Bulldog
14.31063199,Bulldog
0.322952316,Bulldog
7.611111111,Bulldog
8.815879535,Bulldog
11.03901437,Bulldog
7.999885923,Bulldog
2.828199863,Bulldog
2.595368469,Bulldog
5.99928312,Bulldog
3.797284965,Bulldog
10.23671002,Bulldog
12.04380561,Bulldog
10.66929044,Bulldog
10.35169975,Bulldog
0.514601871,Bulldog
7.496121378,Bulldog
4.317590691,Bulldog
3.452315765,Bulldog
0.887063655,Bulldog
1.502966005,Bulldog
1.434519735,Bulldog
7.208761123,Bulldog
5.242984257,Bulldog
1.631759069,Bulldog
11.0498517,Bulldog
6.915697011,Bulldog
2.770590919,Bulldog
8.038215834,Bulldog
6.332534794,Bulldog
7.260780287,Bulldog
4.990987908,Bulldog
12.24366872,Bulldog
9.511293634,Bulldog
10.29420488,Bulldog
0.514601871,Bulldog
2.787132101,Bulldog
9.084074835,Bulldog
12.21891399,Bulldog
8.632443532,Bulldog
7.312685375,Bulldog
3.022473192,Bulldog
5.744010951,Bulldog
5.801505818,Bulldog
4.774811773,Bulldog
6.559890486,Bulldog
7.759069131,Bulldog
8.075169088,Bulldog
8.183321926,Bulldog
7.019735341,Bulldog
12.05749487,Bulldog
8.068332193,Bulldog
11.55361624,Bulldog
0.281998631,Bulldog
11.28256902,Bulldog
6.182067077,Bulldog
8.005475702,Bulldog
11.09091946,Bulldog
11.34839151,Bulldog
5.25119781,Bulldog
9.357859913,Bulldog
9.418206708,Bulldog
8.161533196,Bulldog
9.475701574,Bulldog
3.712525667,Bulldog
8.114989733,Bulldog
9.650809948,Bulldog
11.14841433,Bulldog
8.254620123,Bulldog
8.944444444,Bulldog
8.999315537,Bulldog
1.856262834,Bulldog
1.338809035,Bulldog
1.289527721,Bulldog
1.691877709,Bulldog
1.97113849,Bulldog
2.461213781,Bulldog
2.496805841,Bulldog
4.008099475,Bulldog
5.475587497,Bulldog
7.34017796,Bulldog
8.607688798,Bulldog
11.45790554,Bulldog
7.474218572,Bulldog
9.661875428,Bulldog
10.28325348,Bulldog
7.805612594,Bulldog
7.553616245,Bulldog
1.160734657,Bulldog
4.917065937,Bulldog
6.403718914,Bulldog
8.098448551,Bulldog
9.338694958,Bulldog
9.642710472,Bulldog
10.61453342,Bulldog
10.84188912,Bulldog
10.66119097,Bulldog
0.166894821,Bulldog
1.429044034,Bulldog
3.865845311,Bulldog
5.97387634,Bulldog
7.879420488,Bulldog
8.459958932,Bulldog
8.876112252,Bulldog
10.2642026,Bulldog
10.81724846,Bulldog
11.57563313,Bulldog
6.004106776,Bulldog
0.33937942,Bulldog
1.404403377,Bulldog
1.697353411,Bulldog
2.64476386,Bulldog
3.167579284,Bulldog
3.348277436,Bulldog
6.001254848,Bulldog
6.524184349,Bulldog
6.557038558,Bulldog
7.413985854,Bulldog
8.046429386,Bulldog
8.131302761,Bulldog
8.238078941,Bulldog
8.284736482,Bulldog
8.643394935,Bulldog
8.665183664,Bulldog
8.733744011,Bulldog
8.911704312,Bulldog
9.51939311,Bulldog
9.817818846,Bulldog
10.54608715,Bulldog
10.83356149,Bulldog
10.98961898,Bulldog
11.14020078,Bulldog
11.2387634,Bulldog
13.01836642,Bulldog
14.00125485,Bulldog
14.01220625,Bulldog
2.956764773,Bulldog
12.17510837,Bulldog
0.167008898,Bulldog
6.21754506,Bulldog
9.086926762,Bulldog
10.15457449,Bulldog
0.076659822,Bulldog
7.052589551,Bulldog
8.257357974,Bulldog
0.703627652,Bulldog
1.776865161,Bulldog
8.136778462,Bulldog
1.286675793,Bulldog
6.617271275,Bulldog
3.47980835,Bulldog
6.809034908,Bulldog
10.05065024,Bulldog
9.686516085,Bulldog
11.69883641,Bulldog
8.646132786,Bulldog
1.774013233,Bulldog
8.153319644,Bulldog
1.119780972,Bulldog
9.782226785,Bulldog
2.327059092,Bulldog
10.64738763,Bulldog
0.405087839,Bulldog
12.48448551,Bulldog
0.358658453,Bulldog
0.394250513,Bulldog
10.58989277,Bulldog
11.906799,Bulldog
0.008099475,Bulldog
8.0957107,Bulldog
9.930184805,Bulldog
4.383185033,Bulldog
1.951973534,Bulldog
8.410563541,Bulldog
10.65297741,Bulldog
5.001939311,Bulldog
8.457107004,Bulldog
12.29831166,Bulldog
2.368240931,Bulldog
2.450262377,Bulldog
10.13552361,Bulldog
11.00068446,Bulldog
1.943759982,Bulldog
2.516084873,Bulldog
9.628907141,Bulldog
7.000570386,Bulldog
9.990417522,Bulldog
10.23408624,Bulldog
0.988250057,Bulldog
8.886949578,Bulldog
10.29158111,Bulldog
5.390714123,Bulldog
7.969883641,Bulldog
11.14293863,Bulldog
8.106776181,Bulldog
13.51950719,Bulldog
5.210015971,Bulldog
7.619438741,Bulldog
6.767853069,Bulldog
5.741273101,Bulldog
2.176477299,Bulldog
8.925279489,Bulldog
8.9636094,Bulldog
6.209331508,Bulldog
9.00752909,Bulldog
13.96851472,Bulldog
8.752908966,Bulldog
7.022587269,Bulldog
1.899954369,Bulldog
8.002737851,Bulldog
2.001368925,Bulldog
12.19701118,Bulldog
9.779488935,Bulldog
8.999315537,Bulldog
8.134154689,Bulldog
5.442847365,Bulldog
5.951973534,Bulldog
13.31131645,Bulldog
11.83013917,Bulldog
9.335957107,Bulldog
11.03616245,Bulldog
11.26887976,Bulldog
11.76990646,Bulldog
9.439995437,Bulldog
8.057380789,Bulldog
10.23123431,Bulldog
12.62137805,Bulldog
10.84188912,Bulldog
7.567305499,Bulldog
11.18400639,Bulldog
7.906913073,Bulldog
7.635751768,Bulldog
6.381816108,Bulldog
8.766484143,Bulldog
8.380447182,Bulldog
12.19712526,Bulldog
8.92801734,Bulldog
9.664613279,Bulldog
3.238763404,Bulldog
5.639972621,Bulldog
5.368811316,Bulldog
4.780173397,Bulldog
9.352384212,Bulldog
5.908281999,Bulldog
5.678302533,Bulldog
3.912388775,Bulldog
10.20670773,Bulldog
8.309263062,Bulldog
2.146475017,Bulldog
13.20454027,Bulldog
7.093657312,Bulldog
10.17373945,Bulldog
4.06011864,Bulldog
7.786333561,Bulldog
8.47627196,Bulldog
8.314738763,Bulldog
7.997148072,Bulldog
4.396874287,Bulldog
4.569358887,Bulldog
2.403718914,Bulldog
12.03547798,Bulldog
10.51323295,Bulldog
8.117727584,Bulldog
1.535820214,Bulldog
5.229295003,Bulldog
8.881587953,Bulldog
8.481861739,Bulldog
10.49680584,Bulldog
9.283937942,Bulldog
6.332648871,Bulldog
4.257243897,Bulldog
4.251768195,Bulldog
5.062172028,Bulldog
3.258042437,Bulldog
7.764544832,Bulldog
5.103353867,Bulldog
12.20522473,Bulldog
8.0,Bulldog
2.704882501,Bulldog
12.02737851,Bulldog
9.286675793,Bulldog
6.855578371,Bulldog
0.019050878,Bulldog
0.084759297,Bulldog
8.788501027,Bulldog
3.498859229,Bulldog
4.213438284,Bulldog
9.001939311,Bulldog
2.581793292,Bulldog
10.58453114,Bulldog
10.73785079,Bulldog
4.038215834,Bulldog
14.0039927,Bulldog
8.06011864,Bulldog
3.011521789,Bulldog
11.84120465,Bulldog
5.563312799,Bulldog
9.204654346,Bulldog
7.520876112,Bulldog
4.41615332,Bulldog
5.012890714,Bulldog
2.277777778,Bulldog
4.509126169,Bulldog
1.163472507,Bulldog
5.497604381,Bulldog
11.99988592,Bulldog
9.954711385,Bulldog
2.11076888,Bulldog
5.90269222,Bulldog
7.528975587,Bulldog
9.535820214,Bulldog
8.999315537,Bulldog
8.005475702,Bulldog
2.176591376,Bulldog
7.000684463,Bulldog
7.315423226,Bulldog
3.487907826,Bulldog
2.466803559,Bulldog
12.03000228,Bulldog
12.07107004,Bulldog
10.32158339,Bulldog
9.226443076,Bulldog
8.908852384,Bulldog
10.16826375,Bulldog
12.07654574,Bulldog
11.22507415,Bulldog
10.59548255,Bulldog
10.13826146,Bulldog
9.637120694,Bulldog
13.92185718,Bulldog
13.59890486,Bulldog
9.552361396,Bulldog
8.20807666,Bulldog
8.205338809,Bulldog
8.005475702,Bulldog
12.38056126,Bulldog
9.524982888,Bulldog
7.403034451,Bulldog
9.283937942,Bulldog
8.553045859,Bulldog
12.13404061,Bulldog
9.76306183,Bulldog
9.001939311,Bulldog
7.485284052,Bulldog
3.036276523,Bulldog
8.402349989,Bulldog
3.800022815,Bulldog
10.02589551,Bulldog
9.546885695,Bulldog
6.428473648,Bulldog
9.023956194,Bulldog
6.606319872,Bulldog
9.163472507,Bulldog
