Age of Death,Type
12.07380789,Cavalier King Charles Spaniel
12.67613507,Cavalier King Charles Spaniel
10.84177504,Cavalier King Charles Spaniel
11.08555784,Cavalier King Charles Spaniel
11.31268538,Cavalier King Charles Spaniel
11.68240931,Cavalier King Charles Spaniel
11.95071869,Cavalier King Charles Spaniel
8.468058407,Cavalier King Charles Spaniel
11.63039014,Cavalier King Charles Spaniel
10.31348392,Cavalier King Charles Spaniel
11.28530687,Cavalier King Charles Spaniel
11.64396532,Cavalier King Charles Spaniel
12.18058407,Cavalier King Charles Spaniel
13.98208989,Cavalier King Charles Spaniel
9.552361396,Cavalier King Charles Spaniel
12.678987,Cavalier King Charles Spaniel
13.73294547,Cavalier King Charles Spaniel
4.37223363,Cavalier King Charles Spaniel
6.439425051,Cavalier King Charles Spaniel
10.92391056,Cavalier King Charles Spaniel
8.629705681,Cavalier King Charles Spaniel
9.697353411,Cavalier King Charles Spaniel
12.17237052,Cavalier King Charles Spaniel
13.72746977,Cavalier King Charles Spaniel
12.45436915,Cavalier King Charles Spaniel
13.07049966,Cavalier King Charles Spaniel
9.237394479,Cavalier King Charles Spaniel
9.352498289,Cavalier King Charles Spaniel
7.019849418,Cavalier King Charles Spaniel
8.635067305,Cavalier King Charles Spaniel
9.105977641,Cavalier King Charles Spaniel
11.32363678,Cavalier King Charles Spaniel
11.57015743,Cavalier King Charles Spaniel
11.71132928,Cavalier King Charles Spaniel
12.19986311,Cavalier King Charles Spaniel
12.20807666,Cavalier King Charles Spaniel
14.07791467,Cavalier King Charles Spaniel
14.31348392,Cavalier King Charles Spaniel
6.743212412,Cavalier King Charles Spaniel
7.247091034,Cavalier King Charles Spaniel
7.471594798,Cavalier King Charles Spaniel
9.9137577,Cavalier King Charles Spaniel
10.36276523,Cavalier King Charles Spaniel
11.20876112,Cavalier King Charles Spaniel
11.49338353,Cavalier King Charles Spaniel
12.61042665,Cavalier King Charles Spaniel
13.06776181,Cavalier King Charles Spaniel
13.23465663,Cavalier King Charles Spaniel
9.4865389,Cavalier King Charles Spaniel
12.07380789,Cavalier King Charles Spaniel
14.09981748,Cavalier King Charles Spaniel
14.26956423,Cavalier King Charles Spaniel
11.99167237,Cavalier King Charles Spaniel
9.650924025,Cavalier King Charles Spaniel
12.6186402,Cavalier King Charles Spaniel
8.473534109,Cavalier King Charles Spaniel
10.00136893,Cavalier King Charles Spaniel
12.7801734,Cavalier King Charles Spaniel
13.64533425,Cavalier King Charles Spaniel
1.97387634,Cavalier King Charles Spaniel
7.137462925,Cavalier King Charles Spaniel
8.123203285,Cavalier King Charles Spaniel
10.32705909,Cavalier King Charles Spaniel
11.88215834,Cavalier King Charles Spaniel
6.688455396,Cavalier King Charles Spaniel
6.797969427,Cavalier King Charles Spaniel
10.61190965,Cavalier King Charles Spaniel
10.35181383,Cavalier King Charles Spaniel
5.960187086,Cavalier King Charles Spaniel
7.200433493,Cavalier King Charles Spaniel
8.667921515,Cavalier King Charles Spaniel
8.903376683,Cavalier King Charles Spaniel
8.914328086,Cavalier King Charles Spaniel
8.949920146,Cavalier King Charles Spaniel
9.316792151,Cavalier King Charles Spaniel
11.83287702,Cavalier King Charles Spaniel
13.85067305,Cavalier King Charles Spaniel
15.23613963,Cavalier King Charles Spaniel
5.9137577,Cavalier King Charles Spaniel
6.015058179,Cavalier King Charles Spaniel
6.034109058,Cavalier King Charles Spaniel
6.086128223,Cavalier King Charles Spaniel
6.105293178,Cavalier King Charles Spaniel
6.357289528,Cavalier King Charles Spaniel
6.754277892,Cavalier King Charles Spaniel
6.849988592,Cavalier King Charles Spaniel
6.989618982,Cavalier King Charles Spaniel
7.000570386,Cavalier King Charles Spaniel
7.071754506,Cavalier King Charles Spaniel
7.079968058,Cavalier King Charles Spaniel
7.214122747,Cavalier King Charles Spaniel
7.279945243,Cavalier King Charles Spaniel
7.378393794,Cavalier King Charles Spaniel
7.39755875,Cavalier King Charles Spaniel
7.452315765,Cavalier King Charles Spaniel
7.60563541,Cavalier King Charles Spaniel
7.685033082,Cavalier King Charles Spaniel
7.797284965,Cavalier King Charles Spaniel
7.854779831,Cavalier King Charles Spaniel
7.863107461,Cavalier King Charles Spaniel
7.89596167,Cavalier King Charles Spaniel
7.904061145,Cavalier King Charles Spaniel
7.917750399,Cavalier King Charles Spaniel
8.030116359,Cavalier King Charles Spaniel
8.043805613,Cavalier King Charles Spaniel
8.082021446,Cavalier King Charles Spaniel
8.097029147,Cavalier King Charles Spaniel
8.114875656,Cavalier King Charles Spaniel
8.169632672,Cavalier King Charles Spaniel
8.194387406,Cavalier King Charles Spaniel
8.246406571,Cavalier King Charles Spaniel
8.251882272,Cavalier King Charles Spaniel
8.284736482,Cavalier King Charles Spaniel
8.457107004,Cavalier King Charles Spaniel
8.536618754,Cavalier King Charles Spaniel
8.563997262,Cavalier King Charles Spaniel
8.588637919,Cavalier King Charles Spaniel
8.613278576,Cavalier King Charles Spaniel
8.618640201,Cavalier King Charles Spaniel
8.780173397,Cavalier King Charles Spaniel
8.78838695,Cavalier King Charles Spaniel
8.925393566,Cavalier King Charles Spaniel
8.966347251,Cavalier King Charles Spaniel
9.026579968,Cavalier King Charles Spaniel
9.081336984,Cavalier King Charles Spaniel
9.081336984,Cavalier King Charles Spaniel
9.103353867,Cavalier King Charles Spaniel
9.108829569,Cavalier King Charles Spaniel
9.138945927,Cavalier King Charles Spaniel
9.17168606,Cavalier King Charles Spaniel
9.251083733,Cavalier King Charles Spaniel
9.325119781,Cavalier King Charles Spaniel
9.366187543,Cavalier King Charles Spaniel
9.399041752,Cavalier King Charles Spaniel
9.412731006,Cavalier King Charles Spaniel
9.596167009,Cavalier King Charles Spaniel
9.620693589,Cavalier King Charles Spaniel
9.681040383,Cavalier King Charles Spaniel
9.735797399,Cavalier King Charles Spaniel
9.886265115,Cavalier King Charles Spaniel
9.90269222,Cavalier King Charles Spaniel
9.94661191,Cavalier King Charles Spaniel
9.968514716,Cavalier King Charles Spaniel
10.00125485,Cavalier King Charles Spaniel
10.05327401,Cavalier King Charles Spaniel
10.05874971,Cavalier King Charles Spaniel
10.08065252,Cavalier King Charles Spaniel
10.14921287,Cavalier King Charles Spaniel
10.15457449,Cavalier King Charles Spaniel
10.17373945,Cavalier King Charles Spaniel
10.17921515,Cavalier King Charles Spaniel
10.25039927,Cavalier King Charles Spaniel
10.2587269,Cavalier King Charles Spaniel
10.2642026,Cavalier King Charles Spaniel
10.31063199,Cavalier King Charles Spaniel
10.36550308,Cavalier King Charles Spaniel
10.39002966,Cavalier King Charles Spaniel
10.48037874,Cavalier King Charles Spaniel
10.49954369,Cavalier King Charles Spaniel
10.52703628,Cavalier King Charles Spaniel
10.57357974,Cavalier King Charles Spaniel
10.58726899,Cavalier King Charles Spaniel
10.58726899,Cavalier King Charles Spaniel
10.66655259,Cavalier King Charles Spaniel
10.66666667,Cavalier King Charles Spaniel
10.66666667,Cavalier King Charles Spaniel
10.68583162,Cavalier King Charles Spaniel
10.74595026,Cavalier King Charles Spaniel
10.77059092,Cavalier King Charles Spaniel
10.78975587,Cavalier King Charles Spaniel
10.84177504,Cavalier King Charles Spaniel
10.86094,Cavalier King Charles Spaniel
10.92117271,Cavalier King Charles Spaniel
10.94045175,Cavalier King Charles Spaniel
10.99794661,Cavalier King Charles Spaniel
11.00068446,Cavalier King Charles Spaniel
11.03439745,Cavalier King Charles Spaniel
11.06901666,Cavalier King Charles Spaniel
11.09639516,Cavalier King Charles Spaniel
11.10198494,Cavalier King Charles Spaniel
11.12651152,Cavalier King Charles Spaniel
11.12924937,Cavalier King Charles Spaniel
11.19233402,Cavalier King Charles Spaniel
11.19495779,Cavalier King Charles Spaniel
11.27173169,Cavalier King Charles Spaniel
11.27709332,Cavalier King Charles Spaniel
11.33470226,Cavalier King Charles Spaniel
11.37839379,Cavalier King Charles Spaniel
11.4057723,Cavalier King Charles Spaniel
11.41672371,Cavalier King Charles Spaniel
11.42778919,Cavalier King Charles Spaniel
11.45516769,Cavalier King Charles Spaniel
11.45516769,Cavalier King Charles Spaniel
11.49885923,Cavalier King Charles Spaniel
11.56194387,Cavalier King Charles Spaniel
11.56741958,Cavalier King Charles Spaniel
11.60563541,Cavalier King Charles Spaniel
