Age of Death,Type
1.697467488,Chihuahua X
2.439310974,Chihuahua X
3.460529318,Chihuahua X
4.999315537,Chihuahua X
0.188797627,Chihuahua X
0.922541638,Chihuahua X
12.96646133,Chihuahua X
16.57768652,Chihuahua X
17.8973306,Chihuahua X
0.079283596,Chihuahua X
15.48790783,Chihuahua X
18.09981748,Chihuahua X
0.76386037,Chihuahua X
0.938968743,Chihuahua X
1.661647274,Chihuahua X
2.472279261,Chihuahua X
12.23271732,Chihuahua X
2.223020762,Chihuahua X
8.917180014,Chihuahua X
11.37018024,Chihuahua X
6.132785763,Chihuahua X
13.19917864,Chihuahua X
7.822039699,Chihuahua X
5.423568332,Chihuahua X
11.14031485,Chihuahua X
1.363335615,Chihuahua X
11.10187086,Chihuahua X
5.73853525,Chihuahua X
4.191535478,Chihuahua X
1.653661875,Chihuahua X
10.80344513,Chihuahua X
0.355692448,Chihuahua X
3.821925622,Chihuahua X
10.23397217,Chihuahua X
7.644079398,Chihuahua X
14.80903491,Chihuahua X
10.81987223,Chihuahua X
11.99988592,Chihuahua X
2.116244581,Chihuahua X
2.335272644,Chihuahua X
1.300365047,Chihuahua X
1.470225873,Chihuahua X
16.49828884,Chihuahua X
9.711156742,Chihuahua X
4.541980379,Chihuahua X
11.00068446,Chihuahua X
10.92938627,Chihuahua X
