Age of Death,Type
8.169632672,Chihuahua
10.21206936,Chihuahua
12.52555327,Chihuahua
13.74401095,Chihuahua
11.87942049,Chihuahua
2.056125941,Chihuahua
3.156741958,Chihuahua
6.039584759,Chihuahua
6.061487566,Chihuahua
9.806867442,Chihuahua
12.35580653,Chihuahua
3.622176591,Chihuahua
10.68309377,Chihuahua
14.81165868,Chihuahua
11.75906913,Chihuahua
0.706365503,Chihuahua
6.294204883,Chihuahua
8.807665982,Chihuahua
8.802076204,Chihuahua
1.577002053,Chihuahua
6.047684235,Chihuahua
5.957449236,Chihuahua
9.001939311,Chihuahua
9.272986539,Chihuahua
9.812343144,Chihuahua
11.07734428,Chihuahua
11.1211499,Chihuahua
11.28542094,Chihuahua
11.46326717,Chihuahua
11.53246689,Chihuahua
11.83561488,Chihuahua
12.38318503,Chihuahua
13.1415697,Chihuahua
13.84519735,Chihuahua
14.7871321,Chihuahua
16.25462012,Chihuahua
17.34690851,Chihuahua
10.22039699,Chihuahua
17.48117728,Chihuahua
0.010951403,Chihuahua
0.191535478,Chihuahua
6.102555327,Chihuahua
7.230663929,Chihuahua
8.079283596,Chihuahua
9.672712754,Chihuahua
10.20944559,Chihuahua
13.00193931,Chihuahua
10.81724846,Chihuahua
12.21081451,Chihuahua
17.01562856,Chihuahua
10.20659366,Chihuahua
12.74195756,Chihuahua
0.00365126,Chihuahua
0.147843943,Chihuahua
0.240702715,Chihuahua
0.421629021,Chihuahua
0.514715948,Chihuahua
1.308692676,Chihuahua
1.374287018,Chihuahua
1.440109514,Chihuahua
1.924709103,Chihuahua
2.003992699,Chihuahua
2.288729181,Chihuahua
3.010562052,Chihuahua
3.479694273,Chihuahua
3.88489619,Chihuahua
4.153205567,Chihuahua
4.470796258,Chihuahua
4.999672535,Chihuahua
5.001939311,Chihuahua
6.023157655,Chihuahua
6.658453114,Chihuahua
7.775382158,Chihuahua
7.999885923,Chihuahua
8.155943418,Chihuahua
8.733744011,Chihuahua
8.887063655,Chihuahua
8.9636094,Chihuahua
9.092402464,Chihuahua
9.188227242,Chihuahua
9.253821583,Chihuahua
9.434519735,Chihuahua
9.442733288,Chihuahua
10.1874287,Chihuahua
10.27230208,Chihuahua
10.61027686,Chihuahua
11.52076204,Chihuahua
11.76979238,Chihuahua
12.35033082,Chihuahua
13.03216975,Chihuahua
13.60985626,Chihuahua
