Age of Death,Type
12.32854209,Cocker Spaniel X
14.88021903,Cocker Spaniel X
6.721309605,Cocker Spaniel X
10.70214465,Cocker Spaniel X
10.72142368,Cocker Spaniel X
4.02452658,Cocker Spaniel X
12.73910564,Cocker Spaniel X
8.599475245,Cocker Spaniel X
11.61122519,Cocker Spaniel X
9.03479352,Cocker Spaniel X
10.46121378,Cocker Spaniel X
16.77743555,Cocker Spaniel X
7.498859229,Cocker Spaniel X
10.32432124,Cocker Spaniel X
16.90611453,Cocker Spaniel X
15.84930413,Cocker Spaniel X
11.51528633,Cocker Spaniel X
9.828770249,Cocker Spaniel X
12.5065024,Cocker Spaniel X
13.78496464,Cocker Spaniel X
11.5837326,Cocker Spaniel X
8.325690167,Cocker Spaniel X
8.643394935,Cocker Spaniel X
15.00604609,Cocker Spaniel X
16.29557381,Cocker Spaniel X
7.194957791,Cocker Spaniel X
14.95128907,Cocker Spaniel X
13.39618982,Cocker Spaniel X
12.4461556,Cocker Spaniel X
12.07392197,Cocker Spaniel X
4.903376683,Cocker Spaniel X
10.92938627,Cocker Spaniel X
16.94729637,Cocker Spaniel X
