Age of Death,Type
14.12457221,Cocker Spaniel
6.746064339,Cocker Spaniel
7.455167693,Cocker Spaniel
8.744581337,Cocker Spaniel
9.396303901,Cocker Spaniel
9.593429158,Cocker Spaniel
10.06696327,Cocker Spaniel
11.19507187,Cocker Spaniel
11.25792836,Cocker Spaniel
11.33744011,Cocker Spaniel
11.86846909,Cocker Spaniel
11.92060233,Cocker Spaniel
12.05190509,Cocker Spaniel
12.49269906,Cocker Spaniel
12.82671686,Cocker Spaniel
13.69461556,Cocker Spaniel
14.02863336,Cocker Spaniel
14.181953,Cocker Spaniel
6.409194616,Cocker Spaniel
6.828199863,Cocker Spaniel
9.338809035,Cocker Spaniel
10.23682409,Cocker Spaniel
10.8828428,Cocker Spaniel
12.07118412,Cocker Spaniel
12.49543692,Cocker Spaniel
12.73374401,Cocker Spaniel
8.219028063,Cocker Spaniel
11.11556012,Cocker Spaniel
11.13472507,Cocker Spaniel
11.29899612,Cocker Spaniel
11.34291581,Cocker Spaniel
12.02464066,Cocker Spaniel
12.4297285,Cocker Spaniel
12.84588182,Cocker Spaniel
13.136094,Cocker Spaniel
13.908282,Cocker Spaniel
14.15468857,Cocker Spaniel
12.07107004,Cocker Spaniel
15.88489619,Cocker Spaniel
11.72062514,Cocker Spaniel
10.54346338,Cocker Spaniel
1.35523614,Cocker Spaniel
1.681040383,Cocker Spaniel
1.760323979,Cocker Spaniel
2.40109514,Cocker Spaniel
2.98140543,Cocker Spaniel
3.471480721,Cocker Spaniel
3.498859229,Cocker Spaniel
3.643965321,Cocker Spaniel
3.671343828,Cocker Spaniel
3.789071412,Cocker Spaniel
4.413415469,Cocker Spaniel
5.418206708,Cocker Spaniel
5.439995437,Cocker Spaniel
5.503080082,Cocker Spaniel
5.924709103,Cocker Spaniel
6.417408168,Cocker Spaniel
6.833675565,Cocker Spaniel
7.003308236,Cocker Spaniel
7.101870865,Cocker Spaniel
7.263518138,Cocker Spaniel
9.579625827,Cocker Spaniel
10.42288387,Cocker Spaniel
10.48049281,Cocker Spaniel
10.63655031,Cocker Spaniel
11.26351814,Cocker Spaniel
12.08749715,Cocker Spaniel
12.12035136,Cocker Spaniel
12.92254164,Cocker Spaniel
13.00193931,Cocker Spaniel
13.37702487,Cocker Spaniel
13.92744695,Cocker Spaniel
14.46406571,Cocker Spaniel
15.00057039,Cocker Spaniel
8.003920799,Cocker Spaniel
8.960985626,Cocker Spaniel
10.05874971,Cocker Spaniel
10.13826146,Cocker Spaniel
12.2572439,Cocker Spaniel
12.85409537,Cocker Spaniel
13.63997262,Cocker Spaniel
14.44752453,Cocker Spaniel
15.54004107,Cocker Spaniel
16.19986311,Cocker Spaniel
9.617955738,Cocker Spaniel
11.08270591,Cocker Spaniel
14.74606434,Cocker Spaniel
14.00125485,Cocker Spaniel
10.11898243,Cocker Spaniel
10.66119097,Cocker Spaniel
6.214921287,Cocker Spaniel
8.936344969,Cocker Spaniel
9.724731919,Cocker Spaniel
9.927446954,Cocker Spaniel
11.96440794,Cocker Spaniel
12.05190509,Cocker Spaniel
12.62149213,Cocker Spaniel
13.90269222,Cocker Spaniel
14.03969884,Cocker Spaniel
15.10187086,Cocker Spaniel
15.64396532,Cocker Spaniel
2.108031029,Cocker Spaniel
4.227127538,Cocker Spaniel
7.025211043,Cocker Spaniel
9.366187543,Cocker Spaniel
9.574150125,Cocker Spaniel
9.6590235,Cocker Spaniel
10.08350445,Cocker Spaniel
11.21412275,Cocker Spaniel
11.96988364,Cocker Spaniel
12.13141684,Cocker Spaniel
12.3559206,Cocker Spaniel
12.83219256,Cocker Spaniel
13.03205567,Cocker Spaniel
13.10050194,Cocker Spaniel
14.30515629,Cocker Spaniel
14.63096053,Cocker Spaniel
14.86367785,Cocker Spaniel
15.64681725,Cocker Spaniel
13.80412959,Cocker Spaniel
7.512548483,Cocker Spaniel
9.190851015,Cocker Spaniel
11.29899612,Cocker Spaniel
12.06844627,Cocker Spaniel
11.5727812,Cocker Spaniel
12.71172713,Cocker Spaniel
12.73362993,Cocker Spaniel
16.7911248,Cocker Spaniel
14.37919233,Cocker Spaniel
13.6699749,Cocker Spaniel
11.56468172,Cocker Spaniel
3.95608031,Cocker Spaniel
7.695984486,Cocker Spaniel
12.77754962,Cocker Spaniel
6.691193247,Cocker Spaniel
13.44273329,Cocker Spaniel
15.2387634,Cocker Spaniel
9.817818846,Cocker Spaniel
12.68720055,Cocker Spaniel
13.98208989,Cocker Spaniel
5.360597764,Cocker Spaniel
8.265571526,Cocker Spaniel
12.62137805,Cocker Spaniel
13.62628337,Cocker Spaniel
10.94581337,Cocker Spaniel
12.44626968,Cocker Spaniel
15.27173169,Cocker Spaniel
11.87394479,Cocker Spaniel
9.763175907,Cocker Spaniel
13.04026922,Cocker Spaniel
0.52019165,Cocker Spaniel
4.416039243,Cocker Spaniel
5.913643623,Cocker Spaniel
10.93771389,Cocker Spaniel
12.41056354,Cocker Spaniel
6.00673055,Cocker Spaniel
7.635751768,Cocker Spaniel
9.130732375,Cocker Spaniel
9.587953457,Cocker Spaniel
9.842459503,Cocker Spaniel
10.00410678,Cocker Spaniel
10.19301848,Cocker Spaniel
10.54893908,Cocker Spaniel
10.85831622,Cocker Spaniel
11.00057039,Cocker Spaniel
11.01163587,Cocker Spaniel
11.07175451,Cocker Spaniel
11.11282227,Cocker Spaniel
11.27720739,Cocker Spaniel
12.19153548,Cocker Spaniel
12.30926306,Cocker Spaniel
12.70910335,Cocker Spaniel
12.93896874,Cocker Spaniel
13.05122063,Cocker Spaniel
15.82466347,Cocker Spaniel
5.916381474,Cocker Spaniel
7.75633128,Cocker Spaniel
8.331279945,Cocker Spaniel
9.374401095,Cocker Spaniel
9.90269222,Cocker Spaniel
10.4312115,Cocker Spaniel
10.70225873,Cocker Spaniel
10.77332877,Cocker Spaniel
11.1430527,Cocker Spaniel
11.30720967,Cocker Spaniel
11.62206251,Cocker Spaniel
11.83835273,Cocker Spaniel
11.99714807,Cocker Spaniel
12.12594114,Cocker Spaniel
12.183436,Cocker Spaniel
12.68161077,Cocker Spaniel
13.36333561,Cocker Spaniel
13.76032398,Cocker Spaniel
14.16290212,Cocker Spaniel
14.61727128,Cocker Spaniel
7.000684463,Cocker Spaniel
7.649555099,Cocker Spaniel
8.117727584,Cocker Spaniel
8.481861739,Cocker Spaniel
9.040383299,Cocker Spaniel
9.256673511,Cocker Spaniel
9.541409993,Cocker Spaniel
10.15457449,Cocker Spaniel
10.1983801,Cocker Spaniel
10.31074606,Cocker Spaniel
10.32991102,Cocker Spaniel
