Age of Death,Type
14.85546429,Collie Rough
18.23682409,Collie Rough
12.24629249,Collie Rough
13.19632672,Collie Rough
13.47284965,Collie Rough
14.45026238,Collie Rough
14.51870865,Collie Rough
15.18959617,Collie Rough
10.68571755,Collie Rough
10.99235683,Collie Rough
15.70693589,Collie Rough
16.0,Collie Rough
16.15879535,Collie Rough
13.68092631,Collie Rough
14.37360256,Collie Rough
12.38329911,Collie Rough
10.99247091,Collie Rough
12.0,Collie Rough
10.4202601,Collie Rough
13.00193931,Collie Rough
9.349646361,Collie Rough
15.01437372,Collie Rough
11.64681725,Collie Rough
11.47433265,Collie Rough
9.765913758,Collie Rough
11.26614191,Collie Rough
