Age of Death,Type
11.26899384,Collie X
11.3155373,Collie X
12.9690851,Collie X
13.12799452,Collie X
16.00809948,Collie X
14.27241615,Collie X
14.29705681,Collie X
15.61943874,Collie X
3.274355464,Collie X
5.809605293,Collie X
8.999315537,Collie X
15.00057039,Collie X
8.161419119,Collie X
11.40041068,Collie X
15.24150125,Collie X
17.32226785,Collie X
16.69803787,Collie X
11.19221994,Collie X
12.44900753,Collie X
13.39892768,Collie X
14.42562172,Collie X
15.06913073,Collie X
18.64476386,Collie X
12.36675793,Collie X
3.939653206,Collie X
13.46737394,Collie X
1.308578599,Collie X
12.01083733,Collie X
14.32705909,Collie X
14.03410906,Collie X
13.3085786,Collie X
7.998756021,Collie X
16.9745608,Collie X
11.21149897,Collie X
11.43315081,Collie X
16.49007529,Collie X
6.904859685,Collie X
9.275838467,Collie X
12.67613507,Collie X
14.22039699,Collie X
14.91033539,Collie X
17.51403149,Collie X
10.87462925,Collie X
10.99783253,Collie X
11.45779147,Collie X
12.45984486,Collie X
12.67351129,Collie X
12.75827059,Collie X
12.89242528,Collie X
13.00205339,Collie X
13.48117728,Collie X
13.54129592,Collie X
13.62069359,Collie X
13.6425964,Collie X
13.80960529,Collie X
13.98220397,Collie X
14.04232261,Collie X
14.14647502,Collie X
14.26682637,Collie X
14.41204654,Collie X
14.53524983,Collie X
14.75416381,Collie X
14.76796715,Collie X
15.00604609,Collie X
15.07723021,Collie X
15.56468172,Collie X
15.65491672,Collie X
15.94250513,Collie X
15.96429386,Collie X
15.96976956,Collie X
15.99977185,Collie X
15.99988592,Collie X
16.06011864,Collie X
16.50091262,Collie X
16.66244581,Collie X
17.61533196,Collie X
19.00057039,Collie X
20.4297285,Collie X
16.84599589,Collie X
14.40657084,Collie X
12.8020762,Collie X
14.00673055,Collie X
14.05065024,Collie X
14.76796715,Collie X
14.98699521,Collie X
16.04916724,Collie X
11.43326489,Collie X
14.34360027,Collie X
15.26899384,Collie X
2.707734428,Collie X
6.39835729,Collie X
8.016313028,Collie X
8.0957107,Collie X
8.867784622,Collie X
8.917180014,Collie X
9.437257586,Collie X
9.604266484,Collie X
9.815080995,Collie X
9.850673055,Collie X
10.00113332,Collie X
10.05874971,Collie X
10.2696783,Collie X
10.28336756,Collie X
10.79534565,Collie X
10.81439653,Collie X
11.20864705,Collie X
11.36755647,Collie X
11.39755875,Collie X
