Age of Death,Type
9.514031485,Cross Breed - Small
11.77549624,Cross Breed - Small
11.95619439,Cross Breed - Small
13.81781885,Cross Breed - Small
15.29089665,Cross Breed - Small
13.25096966,Cross Breed - Small
10.770705,Cross Breed - Small
13.33059548,Cross Breed - Small
2.061487566,Cross Breed - Small
3.000570386,Cross Breed - Small
3.09650924,Cross Breed - Small
4.618754278,Cross Breed - Small
5.070385581,Cross Breed - Small
6.833561488,Cross Breed - Small
8.002737851,Cross Breed - Small
14.89653206,Cross Breed - Small
15.90132329,Cross Breed - Small
10.61727128,Cross Breed - Small
17.91638147,Cross Breed - Small
13.4017796,Cross Breed - Small
13.83972165,Cross Breed - Small
18.06707734,Cross Breed - Small
16.39961214,Cross Breed - Small
13.87805156,Cross Breed - Small
11.84120465,Cross Breed - Small
4.109514031,Cross Breed - Small
18.55156286,Cross Breed - Small
14.36824093,Cross Breed - Small
14.65297741,Cross Breed - Small
1.259411362,Cross Breed - Small
6.379192334,Cross Breed - Small
7.197695642,Cross Breed - Small
11.32375086,Cross Breed - Small
10.84725074,Cross Breed - Small
17.49212868,Cross Breed - Small
12.22997947,Cross Breed - Small
12.59947525,Cross Breed - Small
13.71378052,Cross Breed - Small
14.0862423,Cross Breed - Small
14.74047456,Cross Breed - Small
15.20590919,Cross Breed - Small
15.49612138,Cross Breed - Small
5.007415013,Cross Breed - Small
13.30595483,Cross Breed - Small
13.78222679,Cross Breed - Small
13.88090349,Cross Breed - Small
14.69119325,Cross Breed - Small
14.80344513,Cross Breed - Small
15.84382843,Cross Breed - Small
15.87953457,Cross Breed - Small
16.00536162,Cross Breed - Small
16.02452658,Cross Breed - Small
17.50308008,Cross Breed - Small
17.94387406,Cross Breed - Small
18.01220625,Cross Breed - Small
11.90691307,Cross Breed - Small
12.00262377,Cross Breed - Small
14.55167693,Cross Breed - Small
15.99988592,Cross Breed - Small
16.06559434,Cross Breed - Small
18.39835729,Cross Breed - Small
12.1011864,Cross Breed - Small
0.076545745,Cross Breed - Small
18.47216518,Cross Breed - Small
1.377138946,Cross Breed - Small
2.143737166,Cross Breed - Small
3.247091034,Cross Breed - Small
9.366187543,Cross Breed - Small
10.68856947,Cross Breed - Small
12.01083733,Cross Breed - Small
12.97729865,Cross Breed - Small
13.07859913,Cross Breed - Small
13.45916039,Cross Breed - Small
13.62080767,Cross Breed - Small
13.97399042,Cross Breed - Small
14.0698152,Cross Breed - Small
14.13278576,Cross Breed - Small
14.23123431,Cross Breed - Small
14.29431896,Cross Breed - Small
14.47216518,Cross Breed - Small
14.54061145,Cross Breed - Small
14.71571983,Cross Breed - Small
15.00330824,Cross Breed - Small
15.12936345,Cross Breed - Small
15.15400411,Cross Breed - Small
