Age of Death,Type
15.04996578,Cross Breed Medium
8.51186402,Cross Breed Medium
10.31074606,Cross Breed Medium
12.11225188,Cross Breed Medium
12.43246635,Cross Breed Medium
13.73020762,Cross Breed Medium
13.86983801,Cross Breed Medium
13.95197353,Cross Breed Medium
13.95756331,Cross Breed Medium
14.22587269,Cross Breed Medium
15.10187086,Cross Breed Medium
8.052019165,Cross Breed Medium
12.65423226,Cross Breed Medium
13.59069131,Cross Breed Medium
14.82546201,Cross Breed Medium
15.84382843,Cross Breed Medium
15.99988592,Cross Breed Medium
16.00262377,Cross Breed Medium
14.10814511,Cross Breed Medium
0.821241159,Cross Breed Medium
2.472165184,Cross Breed Medium
3.591946156,Cross Breed Medium
3.876682637,Cross Breed Medium
3.999885923,Cross Breed Medium
4.358658453,Cross Breed Medium
4.785763176,Cross Breed Medium
7.493383527,Cross Breed Medium
11.82477755,Cross Breed Medium
11.97524527,Cross Breed Medium
14.42562172,Cross Breed Medium
16.00273785,Cross Breed Medium
0.793862651,Cross Breed Medium
11.97798312,Cross Breed Medium
16.37782341,Cross Breed Medium
13.76853753,Cross Breed Medium
9.122290668,Cross Breed Medium
12.13951631,Cross Breed Medium
15.0334246,Cross Breed Medium
15.3100616,Cross Breed Medium
17.26751084,Cross Breed Medium
16.02737851,Cross Breed Medium
14.77059092,Cross Breed Medium
12.78291125,Cross Breed Medium
14.16290212,Cross Breed Medium
14.17111567,Cross Breed Medium
14.365389,Cross Breed Medium
14.74880219,Cross Breed Medium
16.0054757,Cross Breed Medium
16.0164271,Cross Breed Medium
8.046429386,Cross Breed Medium
8.829568789,Cross Breed Medium
12.79397673,Cross Breed Medium
15.14031485,Cross Breed Medium
13.41820671,Cross Breed Medium
12.273671,Cross Breed Medium
12.47627196,Cross Breed Medium
14.1874287,Cross Breed Medium
14.2642026,Cross Breed Medium
15.70431211,Cross Breed Medium
16.30378736,Cross Breed Medium
8.02452658,Cross Breed Medium
12.35865845,Cross Breed Medium
14.6091718,Cross Breed Medium
15.75633128,Cross Breed Medium
16.61875428,Cross Breed Medium
9.01026694,Cross Breed Medium
10.09993155,Cross Breed Medium
12.06011864,Cross Breed Medium
12.090235,Cross Breed Medium
12.16415697,Cross Breed Medium
12.23807894,Cross Breed Medium
12.93086927,Cross Breed Medium
13.14168378,Cross Breed Medium
13.51939311,Cross Breed Medium
13.95744924,Cross Breed Medium
14.06160164,Cross Breed Medium
14.46954141,Cross Breed Medium
14.50239562,Cross Breed Medium
14.72404746,Cross Breed Medium
15.07723021,Cross Breed Medium
15.18674424,Cross Breed Medium
15.19769564,Cross Breed Medium
15.19780972,Cross Breed Medium
15.20043349,Cross Breed Medium
15.39767283,Cross Breed Medium
15.50159708,Cross Breed Medium
15.76716861,Cross Breed Medium
15.81382615,Cross Breed Medium
15.86573123,Cross Breed Medium
15.94239106,Cross Breed Medium
15.94775268,Cross Breed Medium
15.99988592,Cross Breed Medium
16.0957107,Cross Breed Medium
17.00193931,Cross Breed Medium
17.26214921,Cross Breed Medium
17.53308236,Cross Breed Medium
17.56057495,Cross Breed Medium
17.86983801,Cross Breed Medium
18.22313484,Cross Breed Medium
14.66107689,Cross Breed Medium
12.85147159,Cross Breed Medium
13.73305955,Cross Breed Medium
14.39561944,Cross Breed Medium
15.53718914,Cross Breed Medium
11.89322382,Cross Breed Medium
13.33048141,Cross Breed Medium
15.89048597,Cross Breed Medium
16.16689482,Cross Breed Medium
16.83493041,Cross Breed Medium
17.78507871,Cross Breed Medium
18.28599133,Cross Breed Medium
19.00878394,Cross Breed Medium
8.51186402,Cross Breed Medium
13.13883185,Cross Breed Medium
16.01357518,Cross Breed Medium
4.114875656,Cross Breed Medium
10.48323066,Cross Breed Medium
10.66107689,Cross Breed Medium
13.21001597,Cross Breed Medium
15.33732603,Cross Breed Medium
16.46532056,Cross Breed Medium
1.001939311,Cross Breed Medium
1.502966005,Cross Breed Medium
2.839151266,Cross Breed Medium
3.000570386,Cross Breed Medium
4.728154232,Cross Breed Medium
7.758955054,Cross Breed Medium
8.082021446,Cross Breed Medium
8.509240246,Cross Breed Medium
8.511978097,Cross Breed Medium
9.951973534,Cross Breed Medium
9.968400639,Cross Breed Medium
9.979352042,Cross Breed Medium
10.27230208,Cross Breed Medium
10.75963952,Cross Breed Medium
10.80629706,Cross Breed Medium
11.50433493,Cross Breed Medium
12.0,Cross Breed Medium
12.06285649,Cross Breed Medium
12.1066621,Cross Breed Medium
12.37234771,Cross Breed Medium
12.62685375,Cross Breed Medium
12.85420945,Cross Breed Medium
13.00193931,Cross Breed Medium
13.61248004,Cross Breed Medium
13.68640201,Cross Breed Medium
13.70568104,Cross Breed Medium
13.77686516,Cross Breed Medium
13.91101985,Cross Breed Medium
14.00136893,Cross Breed Medium
14.02874743,Cross Breed Medium
14.06433949,Cross Breed Medium
14.30253251,Cross Breed Medium
14.51323295,Cross Breed Medium
14.53513575,Cross Breed Medium
14.67202829,Cross Breed Medium
14.78428017,Cross Breed Medium
14.81451061,Cross Breed Medium
14.84998859,Cross Breed Medium
15.14579055,Cross Breed Medium
15.51802418,Cross Breed Medium
15.5618298,Cross Breed Medium
15.68514716,Cross Breed Medium
15.85204198,Cross Breed Medium
15.85763176,Cross Breed Medium
15.92607803,Cross Breed Medium
16.00273785,Cross Breed Medium
16.19712526,Cross Breed Medium
16.28199863,Cross Breed Medium
16.37223363,Cross Breed Medium
16.42425279,Cross Breed Medium
16.50365047,Cross Breed Medium
16.68161077,Cross Breed Medium
16.80219028,Cross Breed Medium
17.00193931,Cross Breed Medium
17.07049966,Cross Breed Medium
17.4755875,Cross Breed Medium
18.00136893,Cross Breed Medium
11.72610084,Cross Breed Medium
0.057380789,Cross Breed Medium
8.0,Cross Breed Medium
11.04711385,Cross Breed Medium
11.39755875,Cross Breed Medium
12.73100616,Cross Breed Medium
12.91432809,Cross Breed Medium
14.00136893,Cross Breed Medium
14.68024184,Cross Breed Medium
15.07723021,Cross Breed Medium
17.10597764,Cross Breed Medium
16.37223363,Cross Breed Medium
8.194387406,Cross Breed Medium
10.20944559,Cross Breed Medium
7.37303217,Cross Breed Medium
