Age of Death,Type
13.77412731,Cross-Breed
12.04928131,Cross-Breed
0.876112252,Cross-Breed
1.116929044,Cross-Breed
13.29215149,Cross-Breed
15.06913073,Cross-Breed
13.76591376,Cross-Breed
9.212867899,Cross-Breed
14.00125485,Cross-Breed
14.3380105,Cross-Breed
6.721309605,Cross-Breed
16.81302761,Cross-Breed
14.93497604,Cross-Breed
13.00205339,Cross-Breed
16.01083733,Cross-Breed
17.38250057,Cross-Breed
8.019164956,Cross-Breed
14.55430071,Cross-Breed
17.31143053,Cross-Breed
12.91170431,Cross-Breed
12.91991786,Cross-Breed
18.55167693,Cross-Breed
7.67681953,Cross-Breed
13.47843943,Cross-Breed
