Age of Death,Type
14.1710016,Cross
12.29842574,Cross
13.51665526,Cross
2.001368925,Cross
0.990987908,Cross
2.001368925,Cross
5.001939311,Cross
7.999885923,Cross
8.396874287,Cross
10.19564225,Cross
12.00262377,Cross
13.04859685,Cross
16.88421173,Cross
16.33390372,Cross
17.85888661,Cross
14.00125485,Cross
14.00125485,Cross
0.459844855,Cross
14.38729181,Cross
10.00136893,Cross
12.3613963,Cross
0.235455168,Cross
10.91033539,Cross
12.99931554,Cross
13.49760438,Cross
13.55224732,Cross
14.0094684,Cross
14.23956194,Cross
14.96224047,Cross
15.68229523,Cross
16.14225416,Cross
17.00193931,Cross
18.0149441,Cross
12.39698836,Cross
13.89174082,Cross
15.00068446,Cross
15.41683778,Cross
12.38866073,Cross
12.4516313,Cross
19.18948209,Cross
0.166894821,Cross
2.891170431,Cross
6.997946612,Cross
9.248459959,Cross
9.943874059,Cross
10.77606662,Cross
10.9486653,Cross
12.40234999,Cross
13.16621036,Cross
13.50308008,Cross
13.56057495,Cross
15.09650924,Cross
15.90406115,Cross
16.22450376,Cross
16.90896646,Cross
18.99794661,Cross
11.86573123,Cross
12.6844627,Cross
13.80412959,Cross
15.95071869,Cross
18.00125485,Cross
14.55977641,Cross
13.31953,Cross
14.34086242,Cross
15.00057039,Cross
4.073921971,Cross
6.165525896,Cross
14.07243897,Cross
14.61190965,Cross
15.49623546,Cross
12.98825006,Cross
6.636550308,Cross
10.28336756,Cross
9.001939311,Cross
19.2332877,Cross
15.92881588,Cross
13.28941364,Cross
17.50022815,Cross
14.49680584,Cross
15.00057039,Cross
9.423682409,Cross
13.51403149,Cross
14.30515629,Cross
13.66187543,Cross
15.49885923,Cross
10.41752225,Cross
8.380561259,Cross
15.77538216,Cross
11.98893452,Cross
10.00136893,Cross
12.22176591,Cross
16.06844627,Cross
10.5982204,Cross
6.195642254,Cross
13.67818846,Cross
13.46475017,Cross
13.70294319,Cross
7.939767283,Cross
2.012320329,Cross
9.839835729,Cross
12.19153548,Cross
12.35318275,Cross
9.598790783,Cross
14.06970112,Cross
14.19028063,Cross
11.39767283,Cross
8.273671002,Cross
15.67681953,Cross
16.99383984,Cross
11.15115218,Cross
14.48859229,Cross
15.07449236,Cross
19.67408168,Cross
14.45300023,Cross
12.80492813,Cross
11.15389003,Cross
16.3613963,Cross
9.385352498,Cross
0.517453799,Cross
