Age of Death,Type
9.560574949,Crossbreed
13.38797627,Crossbreed
13.99979853,Crossbreed
14.42366254,Crossbreed
16.45995893,Crossbreed
12.49269906,Crossbreed
3.727124084,Crossbreed
8.125941136,Crossbreed
14.94307552,Crossbreed
9.245608031,Crossbreed
10.55703856,Crossbreed
12.07107004,Crossbreed
13.6699749,Crossbreed
17.36333561,Crossbreed
8.85957107,Crossbreed
13.35512206,Crossbreed
16.23807894,Crossbreed
12.3613963,Crossbreed
13.01026694,Crossbreed
13.6535478,Crossbreed
11.71514944,Crossbreed
12.01631303,Crossbreed
12.23545517,Crossbreed
12.70362765,Crossbreed
12.89516313,Crossbreed
12.9581337,Crossbreed
13.01300479,Crossbreed
14.21480721,Crossbreed
14.52156057,Crossbreed
14.61067049,Crossbreed
14.80892083,Crossbreed
15.00068446,Crossbreed
15.10746064,Crossbreed
15.34006388,Crossbreed
16.48448551,Crossbreed
17.0403833,Crossbreed
17.25382158,Crossbreed
18.09445585,Crossbreed
10.11898243,Crossbreed
11.48243212,Crossbreed
14.51870865,Crossbreed
0.417159385,Crossbreed
2.998954325,Crossbreed
7.301733972,Crossbreed
8.744581337,Crossbreed
11.43041296,Crossbreed
12.35021675,Crossbreed
12.87873603,Crossbreed
13.50022815,Crossbreed
13.99871492,Crossbreed
14.58607768,Crossbreed
14.83915127,Crossbreed
14.8828428,Crossbreed
15.00057039,Crossbreed
15.00068446,Crossbreed
15.36732831,Crossbreed
15.62491444,Crossbreed
16.30926306,Crossbreed
16.87599817,Crossbreed
17.42356833,Crossbreed
17.48939083,Crossbreed
18.50501939,Crossbreed
18.72142368,Crossbreed
7.999885923,Crossbreed
12.7966005,Crossbreed
15.2387634,Crossbreed
16.50091262,Crossbreed
16.46258271,Crossbreed
9.037531371,Crossbreed
5.689253936,Crossbreed
11.29352042,Crossbreed
10.5323979,Crossbreed
8.030002282,Crossbreed
11.62753822,Crossbreed
15.61384896,Crossbreed
19.15115218,Crossbreed
15.68788501,Crossbreed
13.00479124,Crossbreed
8.372347707,Crossbreed
14.93643804,Crossbreed
8.613164499,Crossbreed
13.24371967,Crossbreed
5.999597688,Crossbreed
8.99964259,Crossbreed
9.672712754,Crossbreed
14.00125485,Crossbreed
8.484599589,Crossbreed
11.68514716,Crossbreed
12.5065024,Crossbreed
13.00193931,Crossbreed
13.17800828,Crossbreed
16.25998175,Crossbreed
14.55156286,Crossbreed
0.4406799,Crossbreed
13.90554415,Crossbreed
13.69640099,Crossbreed
10.66392882,Crossbreed
14.83629934,Crossbreed
15.00068446,Crossbreed
15.00068446,Crossbreed
16.16141912,Crossbreed
17.13883185,Crossbreed
8.271047228,Crossbreed
1.427517524,Crossbreed
3.570157426,Crossbreed
10.40919462,Crossbreed
13.07394558,Crossbreed
15.05258955,Crossbreed
16.0,Crossbreed
15.84394251,Crossbreed
10.46668948,Crossbreed
1.000524818,Crossbreed
13.4810632,Crossbreed
16.75005704,Crossbreed
13.95208761,Crossbreed
16.53102898,Crossbreed
15.68350648,Crossbreed
11.50718686,Crossbreed
11.07723021,Crossbreed
13.73568332,Crossbreed
15.32922656,Crossbreed
14.3708647,Crossbreed
9.503080082,Crossbreed
15.29899612,Crossbreed
0.180698152,Crossbreed
14.40930869,Crossbreed
6.934976044,Crossbreed
12.52019165,Crossbreed
18.41740817,Crossbreed
12.96372348,Crossbreed
12.54757016,Crossbreed
4.618754278,Crossbreed
17.229295,Crossbreed
13.69461556,Crossbreed
19.25792836,Crossbreed
8.353068674,Crossbreed
13.7467488,Crossbreed
11.61111111,Crossbreed
13.30036505,Crossbreed
10.00958248,Crossbreed
10.06160164,Crossbreed
9.470111796,Crossbreed
9.771275382,Crossbreed
10.31610769,Crossbreed
7.608487337,Crossbreed
3.79192334,Crossbreed
9.842459503,Crossbreed
2.368126854,Crossbreed
3.246976956,Crossbreed
8.711841205,Crossbreed
14.41740817,Crossbreed
13.37166324,Crossbreed
11.56741958,Crossbreed
9.719370294,Crossbreed
7.832991102,Crossbreed
5.352498289,Crossbreed
3.46874287,Crossbreed
13.54688569,Crossbreed
8.720054757,Crossbreed
16.0,Crossbreed
12.7063655,Crossbreed
1.500228154,Crossbreed
0.290098106,Crossbreed
9.793292266,Crossbreed
0.188797627,Crossbreed
0.572096737,Crossbreed
15.59479808,Crossbreed
11.43874059,Crossbreed
9.059434178,Crossbreed
13.67818846,Crossbreed
7.715263518,Crossbreed
17.00193931,Crossbreed
6.516084873,Crossbreed
15.39493498,Crossbreed
1.31131645,Crossbreed
14.37371663,Crossbreed
10.85820214,Crossbreed
4.320328542,Crossbreed
12.24640657,Crossbreed
1.03479352,Crossbreed
17.6699749,Crossbreed
11.14567648,Crossbreed
8.238193018,Crossbreed
9.086926762,Crossbreed
13.91638147,Crossbreed
7.958818161,Crossbreed
4.005361624,Crossbreed
15.82466347,Crossbreed
7.838352726,Crossbreed
9.946497833,Crossbreed
17.00193931,Crossbreed
12.45436915,Crossbreed
12.08749715,Crossbreed
15.96155601,Crossbreed
14.72952316,Crossbreed
7.049965777,Crossbreed
18.41740817,Crossbreed
11.90143737,Crossbreed
7.09650924,Crossbreed
10.90748346,Crossbreed
11.45505362,Crossbreed
8.999315537,Crossbreed
6.505019393,Crossbreed
12.09308693,Crossbreed
3.011521789,Crossbreed
0.027378508,Crossbreed
0.752794889,Crossbreed
13.63584389,Crossbreed
9.889117043,Crossbreed
13.5018497,Crossbreed
9.93828428,Crossbreed
