Age of Death,Type
1.476658428,Doberman Pinscher
8.344969199,Doberman Pinscher
9.133470226,Doberman Pinscher
8.038215834,Doberman Pinscher
9.4865389,Doberman Pinscher
8.990987908,Doberman Pinscher
9.092402464,Doberman Pinscher
9.256673511,Doberman Pinscher
11.58099475,Doberman Pinscher
11.77800593,Doberman Pinscher
11.99884304,Doberman Pinscher
13.43451974,Doberman Pinscher
11.43326489,Doberman Pinscher
5.804129592,Doberman Pinscher
7.999102593,Doberman Pinscher
10.92664841,Doberman Pinscher
11.01060626,Doberman Pinscher
11.01163587,Doberman Pinscher
11.38660735,Doberman Pinscher
12.363906,Doberman Pinscher
5.163472507,Doberman Pinscher
7.983572895,Doberman Pinscher
12.01905088,Doberman Pinscher
10.43931097,Doberman Pinscher
9.122518823,Doberman Pinscher
6.069701118,Doberman Pinscher
12.29557381,Doberman Pinscher
9.930070728,Doberman Pinscher
7.780971937,Doberman Pinscher
10.7871321,Doberman Pinscher
6.242185718,Doberman Pinscher
7.219598449,Doberman Pinscher
13.44832307,Doberman Pinscher
9.040269222,Doberman Pinscher
9.776751084,Doberman Pinscher
9.669974903,Doberman Pinscher
8.281884554,Doberman Pinscher
11.59753593,Doberman Pinscher
8.038215834,Doberman Pinscher
8.419437536,Doberman Pinscher
6.184690851,Doberman Pinscher
12.44353183,Doberman Pinscher
