Age of Death,Type
10.05874971,Dobermann
10.77606662,Dobermann
11.86573123,Dobermann
14.35717545,Dobermann
6.819872234,Dobermann
10.44478668,Dobermann
4.632443532,Dobermann
9.300479124,Dobermann
11.99988592,Dobermann
1.878051563,Dobermann
5.144307552,Dobermann
7.129249373,Dobermann
13.21560575,Dobermann
13.76853753,Dobermann
5.004677162,Dobermann
5.724731919,Dobermann
7.827401323,Dobermann
7.830253251,Dobermann
7.937029432,Dobermann
8.076659822,Dobermann
8.136778462,Dobermann
8.999315537,Dobermann
10.93223819,Dobermann
11.00330824,Dobermann
11.06901666,Dobermann
11.25530459,Dobermann
7.490759754,Dobermann
11.1211499,Dobermann
8.495436915,Dobermann
9.264887064,Dobermann
10.98140543,Dobermann
14.18206708,Dobermann
14.00673055,Dobermann
7.26899384,Dobermann
10.8718914,Dobermann
12.75827059,Dobermann
11.83025325,Dobermann
11.59753593,Dobermann
10.64750171,Dobermann
11.92334018,Dobermann
7.099247091,Dobermann
13.22370522,Dobermann
