Age of Death,Type
5.18275154,Dogue de Bordeaux
6.661076888,Dogue de Bordeaux
6.921172713,Dogue de Bordeaux
9.27846224,Dogue de Bordeaux
6.020419804,Dogue de Bordeaux
1.253935661,Dogue de Bordeaux
6.07791467,Dogue de Bordeaux
7.830139174,Dogue de Bordeaux
8.977298654,Dogue de Bordeaux
6.948551221,Dogue de Bordeaux
4.309263062,Dogue de Bordeaux
5.86983801,Dogue de Bordeaux
8.65149441,Dogue de Bordeaux
8.884325804,Dogue de Bordeaux
9.14715948,Dogue de Bordeaux
2.483116587,Dogue de Bordeaux
5.253935661,Dogue de Bordeaux
7.392197125,Dogue de Bordeaux
9.2183436,Dogue de Bordeaux
6.778804472,Dogue de Bordeaux
7.206023272,Dogue de Bordeaux
3.857631759,Dogue de Bordeaux
6.606319872,Dogue de Bordeaux
7.60837326,Dogue de Bordeaux
2.688569473,Dogue de Bordeaux
5.6590235,Dogue de Bordeaux
7.518024184,Dogue de Bordeaux
10.17111567,Dogue de Bordeaux
5.089664613,Dogue de Bordeaux
6.001254848,Dogue de Bordeaux
4.114875656,Dogue de Bordeaux
7.909650924,Dogue de Bordeaux
9.283937942,Dogue de Bordeaux
3.769906457,Dogue de Bordeaux
4.473420032,Dogue de Bordeaux
6.171001597,Dogue de Bordeaux
6.633812457,Dogue de Bordeaux
8.224389687,Dogue de Bordeaux
8.446155601,Dogue de Bordeaux
9.064909879,Dogue de Bordeaux
10.28872918,Dogue de Bordeaux
10.6091718,Dogue de Bordeaux
3.556354095,Dogue de Bordeaux
10.52429843,Dogue de Bordeaux
5.492014602,Dogue de Bordeaux
1.900068446,Dogue de Bordeaux
2.069701118,Dogue de Bordeaux
3.46874287,Dogue de Bordeaux
4.090234999,Dogue de Bordeaux
5.002053388,Dogue de Bordeaux
5.212753822,Dogue de Bordeaux
5.459160392,Dogue de Bordeaux
5.489276751,Dogue de Bordeaux
5.80971937,Dogue de Bordeaux
5.897216518,Dogue de Bordeaux
5.924595026,Dogue de Bordeaux
6.001254848,Dogue de Bordeaux
6.001368925,Dogue de Bordeaux
6.247661419,Dogue de Bordeaux
6.652863336,Dogue de Bordeaux
7.142938627,Dogue de Bordeaux
7.162103582,Dogue de Bordeaux
7.427789185,Dogue de Bordeaux
7.857517682,Dogue de Bordeaux
7.95334246,Dogue de Bordeaux
8.771959845,Dogue de Bordeaux
9.119666895,Dogue de Bordeaux
10.37097878,Dogue de Bordeaux
1.174537988,Dogue de Bordeaux
2.067077344,Dogue de Bordeaux
0.911704312,Dogue de Bordeaux
4.536504677,Dogue de Bordeaux
5.585215606,Dogue de Bordeaux
7.247091034,Dogue de Bordeaux
10.37097878,Dogue de Bordeaux
12.99931554,Dogue de Bordeaux
10.00125485,Dogue de Bordeaux
9.390714123,Dogue de Bordeaux
9.095140315,Dogue de Bordeaux
5.858886607,Dogue de Bordeaux
4.087497148,Dogue de Bordeaux
5.661761351,Dogue de Bordeaux
8.566735113,Dogue de Bordeaux
6.874743326,Dogue de Bordeaux
10.29420488,Dogue de Bordeaux
7.570157426,Dogue de Bordeaux
8.448893452,Dogue de Bordeaux
8.468172485,Dogue de Bordeaux
4.010951403,Dogue de Bordeaux
4.098562628,Dogue de Bordeaux
6.004106776,Dogue de Bordeaux
6.795345654,Dogue de Bordeaux
9.579625827,Dogue de Bordeaux
9.79865389,Dogue de Bordeaux
9.812457221,Dogue de Bordeaux
11.03068674,Dogue de Bordeaux
8.227127538,Dogue de Bordeaux
4.257243897,Dogue de Bordeaux
8.093086927,Dogue de Bordeaux
2.956764773,Dogue de Bordeaux
8.259981748,Dogue de Bordeaux
6.46954141,Dogue de Bordeaux
3.841204654,Dogue de Bordeaux
5.607118412,Dogue de Bordeaux
7.071868583,Dogue de Bordeaux
6.735112936,Dogue de Bordeaux
8.317476614,Dogue de Bordeaux
9.489276751,Dogue de Bordeaux
9.69461556,Dogue de Bordeaux
10.26694045,Dogue de Bordeaux
10.45847593,Dogue de Bordeaux
6.329796943,Dogue de Bordeaux
10.17659138,Dogue de Bordeaux
5.010152863,Dogue de Bordeaux
7.482432124,Dogue de Bordeaux
5.166210358,Dogue de Bordeaux
5.607004335,Dogue de Bordeaux
0.019050878,Dogue de Bordeaux
1.86983801,Dogue de Bordeaux
6.433835273,Dogue de Bordeaux
6.52966005,Dogue de Bordeaux
8.087497148,Dogue de Bordeaux
7.027948893,Dogue de Bordeaux
2.102555327,Dogue de Bordeaux
1.27846224,Dogue de Bordeaux
2.390143737,Dogue de Bordeaux
3.518138261,Dogue de Bordeaux
3.975359343,Dogue de Bordeaux
4.435204198,Dogue de Bordeaux
5.667237052,Dogue de Bordeaux
6.650239562,Dogue de Bordeaux
8.246292494,Dogue de Bordeaux
9.434633812,Dogue de Bordeaux
6.494182067,Dogue de Bordeaux
4.060004563,Dogue de Bordeaux
11.51254848,Dogue de Bordeaux
4.766484143,Dogue de Bordeaux
3.701460187,Dogue de Bordeaux
7.386607347,Dogue de Bordeaux
3.769906457,Dogue de Bordeaux
1.86710016,Dogue de Bordeaux
11.43315081,Dogue de Bordeaux
6.072438969,Dogue de Bordeaux
6.907597536,Dogue de Bordeaux
8.27652293,Dogue de Bordeaux
9.527720739,Dogue de Bordeaux
6.584531143,Dogue de Bordeaux
4.785763176,Dogue de Bordeaux
7.553730322,Dogue de Bordeaux
4.522815423,Dogue de Bordeaux
8.944444444,Dogue de Bordeaux
6.866529774,Dogue de Bordeaux
