Age of Death,Type
10.00136893,English Staffordshire Bull Terrier X
14.26694045,English Staffordshire Bull Terrier X
1.492128679,English Staffordshire Bull Terrier X
1.631644992,English Staffordshire Bull Terrier X
2.7816564,English Staffordshire Bull Terrier X
3.055441478,English Staffordshire Bull Terrier X
3.674195756,English Staffordshire Bull Terrier X
4.936230892,English Staffordshire Bull Terrier X
5.002053388,English Staffordshire Bull Terrier X
5.754848277,English Staffordshire Bull Terrier X
5.921857175,English Staffordshire Bull Terrier X
10.31063199,English Staffordshire Bull Terrier X
6.020533881,English Staffordshire Bull Terrier X
15.87953457,English Staffordshire Bull Terrier X
10.0039927,English Staffordshire Bull Terrier X
12.12035136,English Staffordshire Bull Terrier X
14.05874971,English Staffordshire Bull Terrier X
6.036846909,English Staffordshire Bull Terrier X
12.30116359,English Staffordshire Bull Terrier X
11.69609856,English Staffordshire Bull Terrier X
13.43189596,English Staffordshire Bull Terrier X
3.000570386,English Staffordshire Bull Terrier X
9.817818846,English Staffordshire Bull Terrier X
10.46395163,English Staffordshire Bull Terrier X
13.19370294,English Staffordshire Bull Terrier X
14.43383527,English Staffordshire Bull Terrier X
13.01015286,English Staffordshire Bull Terrier X
1.749486653,English Staffordshire Bull Terrier X
8.758384668,English Staffordshire Bull Terrier X
9.259411362,English Staffordshire Bull Terrier X
10.98961898,English Staffordshire Bull Terrier X
11.92334018,English Staffordshire Bull Terrier X
12.0,English Staffordshire Bull Terrier X
12.72815423,English Staffordshire Bull Terrier X
12.91432809,English Staffordshire Bull Terrier X
14.34633812,English Staffordshire Bull Terrier X
17.99863107,English Staffordshire Bull Terrier X
2.305156286,English Staffordshire Bull Terrier X
6.636436231,English Staffordshire Bull Terrier X
6.617385352,English Staffordshire Bull Terrier X
15.79192334,English Staffordshire Bull Terrier X
10.83082364,English Staffordshire Bull Terrier X
12.73921971,English Staffordshire Bull Terrier X
11.38398357,English Staffordshire Bull Terrier X
11.47980835,English Staffordshire Bull Terrier X
11.9177504,English Staffordshire Bull Terrier X
17.04026922,English Staffordshire Bull Terrier X
11.51528633,English Staffordshire Bull Terrier X
11.99988592,English Staffordshire Bull Terrier X
10.15742642,English Staffordshire Bull Terrier X
12.03547798,English Staffordshire Bull Terrier X
4.539242528,English Staffordshire Bull Terrier X
9.442733288,English Staffordshire Bull Terrier X
15.52076204,English Staffordshire Bull Terrier X
11.72062514,English Staffordshire Bull Terrier X
6.116244581,English Staffordshire Bull Terrier X
8.295573808,English Staffordshire Bull Terrier X
15.13198722,English Staffordshire Bull Terrier X
