Age of Death,Type
9.078485056,Flat Coated Retrieve
13.28131417,Flat Coated Retrieve
9.01026694,Flat Coated Retrieve
3.118297969,Flat Coated Retrieve
10.9650924,Flat Coated Retrieve
12.33390372,Flat Coated Retrieve
9.095026238,Flat Coated Retrieve
8.021788729,Flat Coated Retrieve
13.58510153,Flat Coated Retrieve
6.683093771,Flat Coated Retrieve
4.938968743,Flat Coated Retrieve
12.49817477,Flat Coated Retrieve
13.53582021,Flat Coated Retrieve
11.3235227,Flat Coated Retrieve
12.77743555,Flat Coated Retrieve
10.58726899,Flat Coated Retrieve
6.584531143,Flat Coated Retrieve
12.23260324,Flat Coated Retrieve
10.58441707,Flat Coated Retrieve
13.60164271,Flat Coated Retrieve
9.875313712,Flat Coated Retrieve
