Age of Death,Type
11.2936345,Flat-Coated Retriever
11.46338125,Flat-Coated Retriever
8.632443532,Flat-Coated Retriever
9.303102898,Flat-Coated Retriever
12.68720055,Flat-Coated Retriever
9.609742186,Flat-Coated Retriever
11.17853069,Flat-Coated Retriever
15.80561259,Flat-Coated Retriever
11.86846909,Flat-Coated Retriever
10.8773671,Flat-Coated Retriever
10.37645448,Flat-Coated Retriever
7.633127995,Flat-Coated Retriever
11.02521104,Flat-Coated Retriever
9.144307552,Flat-Coated Retriever
11.88204426,Flat-Coated Retriever
8.851471595,Flat-Coated Retriever
6.105293178,Flat-Coated Retriever
9.746634725,Flat-Coated Retriever
12.31211499,Flat-Coated Retriever
8.435204198,Flat-Coated Retriever
