Age of Death,Type
13.51950719,Fox Terrier
10.6884554,Fox Terrier
13.56605065,Fox Terrier
7.497050283,Fox Terrier
10.99509468,Fox Terrier
11.35101529,Fox Terrier
11.64134155,Fox Terrier
1.503080082,Fox Terrier
9.262035136,Fox Terrier
12.34485512,Fox Terrier
14.62822268,Fox Terrier
10.6939311,Fox Terrier
11.99988592,Fox Terrier
9.431895962,Fox Terrier
9.149897331,Fox Terrier
13.10882957,Fox Terrier
10.16826375,Fox Terrier
12.25188227,Fox Terrier
15.67955738,Fox Terrier
9.166210358,Fox Terrier
13.60438056,Fox Terrier
11.5618298,Fox Terrier
14.69404517,Fox Terrier
