Age of Death,Type
6.647501711,French Bulldog
12.8733744,French Bulldog
1.880789414,French Bulldog
1.823294547,French Bulldog
3.238763404,French Bulldog
3.742527949,French Bulldog
1.185375314,French Bulldog
11.00889802,French Bulldog
4.156057495,French Bulldog
2.636436231,French Bulldog
7.091033539,French Bulldog
7.630276067,French Bulldog
2.869153548,French Bulldog
6.108145106,French Bulldog
6.069701118,French Bulldog
1.363335615,French Bulldog
0.539242528,French Bulldog
1.007415013,French Bulldog
2.532511978,French Bulldog
1.689139859,French Bulldog
0.38329911,French Bulldog
12.36675793,French Bulldog
2.409194616,French Bulldog
0.051905088,French Bulldog
0.180584075,French Bulldog
4.071070043,French Bulldog
4.763746292,French Bulldog
6.00673055,French Bulldog
8.27652293,French Bulldog
0.555669633,French Bulldog
0.131302761,French Bulldog
6.19028063,French Bulldog
14.36002738,French Bulldog
0.782911248,French Bulldog
5.596052932,French Bulldog
12.20260096,French Bulldog
0.082021446,French Bulldog
1.492014602,French Bulldog
0.084759297,French Bulldog
0.75553274,French Bulldog
1.04312115,French Bulldog
1.363449692,French Bulldog
1.889002966,French Bulldog
1.954711385,French Bulldog
2.14636094,French Bulldog
2.149098791,French Bulldog
2.305156286,French Bulldog
2.81724846,French Bulldog
2.833561488,French Bulldog
3.264280744,French Bulldog
3.659086623,French Bulldog
3.704312115,French Bulldog
3.783595711,French Bulldog
4.985512206,French Bulldog
5.461898243,French Bulldog
5.951973534,French Bulldog
6.171115674,French Bulldog
6.26146475,French Bulldog
6.502395619,French Bulldog
8.676135067,French Bulldog
9.001939311,French Bulldog
10.13552361,French Bulldog
11.57551905,French Bulldog
11.76716861,French Bulldog
2.228610541,French Bulldog
0.021788729,French Bulldog
0.325804244,French Bulldog
1.899840292,French Bulldog
2.373602555,French Bulldog
2.787132101,French Bulldog
3.337326032,French Bulldog
6.168263746,French Bulldog
14.39824321,French Bulldog
5.620693589,French Bulldog
6.724047456,French Bulldog
2.299680584,French Bulldog
4.54745608,French Bulldog
6.335272644,French Bulldog
0.24366872,French Bulldog
6.381930185,French Bulldog
4.730892083,French Bulldog
5.713780516,French Bulldog
1.123979295,French Bulldog
0.646132786,French Bulldog
3.665868127,French Bulldog
3.022473192,French Bulldog
2.904745608,French Bulldog
3.657654574,French Bulldog
3.775382158,French Bulldog
4.402464066,French Bulldog
4.832192562,French Bulldog
4.911590235,French Bulldog
4.982774355,French Bulldog
0.435204198,French Bulldog
1.472963723,French Bulldog
1.908281999,French Bulldog
12.50638832,French Bulldog
