Age of Death,Type
14.36002738,German Sh Pointer
14.89938398,German Sh Pointer
10.00125485,German Sh Pointer
13.71378052,German Sh Pointer
14.55703856,German Sh Pointer
15.00330824,German Sh Pointer
7.753479352,German Sh Pointer
17.8479352,German Sh Pointer
6.995094684,German Sh Pointer
14.77891855,German Sh Pointer
13.48380105,German Sh Pointer
16.04642939,German Sh Pointer
15.00068446,German Sh Pointer
9.434633812,German Sh Pointer
6.362765229,German Sh Pointer
10.51334702,German Sh Pointer
11.18400639,German Sh Pointer
12.04095368,German Sh Pointer
12.5065024,German Sh Pointer
