Age of Death,Type
9.533196441,German Shepherd X
7.271731691,German Shepherd X
2.73773671,German Shepherd X
3.000684463,German Shepherd X
4.490075291,German Shepherd X
7.318275154,German Shepherd X
13.04848277,German Shepherd X
12.8020762,German Shepherd X
12.93634497,German Shepherd X
11.72610084,German Shepherd X
18.25587497,German Shepherd X
17.01289071,German Shepherd X
11.10460872,German Shepherd X
12.862423,German Shepherd X
10.26135067,German Shepherd X
13.85900068,German Shepherd X
13.75014244,German Shepherd X
9.253935661,German Shepherd X
9.639972621,German Shepherd X
10.73762263,German Shepherd X
11.21149897,German Shepherd X
11.96976956,German Shepherd X
11.99988592,German Shepherd X
12.88421173,German Shepherd X
13.48927675,German Shepherd X
14.85557837,German Shepherd X
14.91843486,German Shepherd X
15.0498517,German Shepherd X
15.88774812,German Shepherd X
17.10882957,German Shepherd X
6.789755875,German Shepherd X
9.240132329,German Shepherd X
14.7103582,German Shepherd X
8.229979466,German Shepherd X
7.854779831,German Shepherd X
8.0,German Shepherd X
8.583048141,German Shepherd X
9.70568104,German Shepherd X
9.998516997,German Shepherd X
10.10803103,German Shepherd X
10.39288159,German Shepherd X
10.7652293,German Shepherd X
10.82261008,German Shepherd X
10.98688113,German Shepherd X
11.05544148,German Shepherd X
11.18674424,German Shepherd X
11.77275838,German Shepherd X
11.99988592,German Shepherd X
12.58031029,German Shepherd X
12.84052019,German Shepherd X
13.16894821,German Shepherd X
13.19096509,German Shepherd X
13.34702259,German Shepherd X
13.4072553,German Shepherd X
14.28610541,German Shepherd X
14.49564178,German Shepherd X
12.88980151,German Shepherd X
13.77138946,German Shepherd X
4.361282227,German Shepherd X
12.65434634,German Shepherd X
16.03821583,German Shepherd X
13.19096509,German Shepherd X
11.30994752,German Shepherd X
15.09091946,German Shepherd X
10.00125485,German Shepherd X
14.75975359,German Shepherd X
15.19769564,German Shepherd X
10.27241615,German Shepherd X
10.09707963,German Shepherd X
3.449691992,German Shepherd X
11.11282227,German Shepherd X
11.98893452,German Shepherd X
8.038215834,German Shepherd X
12.87873603,German Shepherd X
9.891854894,German Shepherd X
9.899954369,German Shepherd X
10.63643623,German Shepherd X
8.845881816,German Shepherd X
11.23340178,German Shepherd X
12.65970796,German Shepherd X
11.4057723,German Shepherd X
12.81861739,German Shepherd X
5.516769336,German Shepherd X
8.843143965,German Shepherd X
10.89926991,German Shepherd X
11.86584531,German Shepherd X
14.74047456,German Shepherd X
9.431781885,German Shepherd X
9.782226785,German Shepherd X
12.31200091,German Shepherd X
10.00125485,German Shepherd X
16.57221081,German Shepherd X
12.12308921,German Shepherd X
12.13951631,German Shepherd X
13.9930413,German Shepherd X
17.31416838,German Shepherd X
10.57346566,German Shepherd X
12.46817248,German Shepherd X
15.81918777,German Shepherd X
11.87953457,German Shepherd X
12.81314168,German Shepherd X
15.4825462,German Shepherd X
16.18879763,German Shepherd X
12.17237052,German Shepherd X
7.775496235,German Shepherd X
13.18811316,German Shepherd X
16.99931554,German Shepherd X
14.10255533,German Shepherd X
9.894478668,German Shepherd X
11.00068446,German Shepherd X
10.34622405,German Shepherd X
16.54198038,German Shepherd X
