Age of Death,Type
10.85284052,German Short-Haired Pointer
12.71457906,German Short-Haired Pointer
12.2627196,German Short-Haired Pointer
11.17305499,German Short-Haired Pointer
11.24971481,German Short-Haired Pointer
11.4825462,German Short-Haired Pointer
12.50638832,German Short-Haired Pointer
15.1321013,German Short-Haired Pointer
7.129249373,German Short-Haired Pointer
10.88010495,German Short-Haired Pointer
8.999315537,German Short-Haired Pointer
16.18605978,German Short-Haired Pointer
6.863791923,German Short-Haired Pointer
