Age of Death,Type
10.93497604,Great Dane
2.661076888,Great Dane
5.741273101,Great Dane
5.957563313,Great Dane
7.47980835,Great Dane
6.948551221,Great Dane
7.509924709,Great Dane
8.292835957,Great Dane
5.001939311,Great Dane
8.16415697,Great Dane
11.19221994,Great Dane
5.073237509,Great Dane
3.413985854,Great Dane
11.46874287,Great Dane
4.659593885,Great Dane
6.841889117,Great Dane
7.43315081,Great Dane
8.427104723,Great Dane
8.700775724,Great Dane
9.114191193,Great Dane
10.00114077,Great Dane
10.31895962,Great Dane
11.99167237,Great Dane
13.68104038,Great Dane
0.602213096,Great Dane
1.724731919,Great Dane
2.014944102,Great Dane
3.112822268,Great Dane
3.312799452,Great Dane
3.619438741,Great Dane
4.416039243,Great Dane
4.61590235,Great Dane
6.343600274,Great Dane
6.907597536,Great Dane
7.038900297,Great Dane
7.446954141,Great Dane
7.978097194,Great Dane
7.999885923,Great Dane
8.065594342,Great Dane
8.273671002,Great Dane
8.4406799,Great Dane
8.629591604,Great Dane
8.895277207,Great Dane
9.322267853,Great Dane
9.420944559,Great Dane
9.826146475,Great Dane
10.00004123,Great Dane
10.0204198,Great Dane
11.0389003,Great Dane
9.549509468,Great Dane
5.648186174,Great Dane
6.307894136,Great Dane
6.803445129,Great Dane
9.412616929,Great Dane
5.415468857,Great Dane
6.25039927,Great Dane
6.132785763,Great Dane
10.29968058,Great Dane
9.281314168,Great Dane
8.577686516,Great Dane
7.572895277,Great Dane
10.54608715,Great Dane
5.053958476,Great Dane
11.26340406,Great Dane
11.35922884,Great Dane
4.528291125,Great Dane
5.776751084,Great Dane
9.984941821,Great Dane
7.542664841,Great Dane
7.942505133,Great Dane
11.03751318,Great Dane
8.235341091,Great Dane
9.048596851,Great Dane
8.265457449,Great Dane
5.730321697,Great Dane
5.193702943,Great Dane
3.671457906,Great Dane
9.815080995,Great Dane
11.84668036,Great Dane
10.44490075,Great Dane
4.599589322,Great Dane
7.668605978,Great Dane
12.01368925,Great Dane
