Age of Death,Type
13.44558522,Greyhound X
13.59069131,Greyhound X
12.60757472,Greyhound X
9.122404746,Greyhound X
10.42299795,Greyhound X
14.05042209,Greyhound X
14.63381246,Greyhound X
14.7048825,Greyhound X
15.52087611,Greyhound X
4.588637919,Greyhound X
10.44204883,Greyhound X
10.54608715,Greyhound X
11.25256674,Greyhound X
14.22575861,Greyhound X
14.6939311,Greyhound X
8.758270591,Greyhound X
9.051220625,Greyhound X
10.76249144,Greyhound X
9.752110427,Greyhound X
9.678302533,Greyhound X
14.01768195,Greyhound X
15.21959845,Greyhound X
9.998631075,Greyhound X
13.02657997,Greyhound X
8.147843943,Greyhound X
14.33812457,Greyhound X
14.91022131,Greyhound X
9.204540269,Greyhound X
10.43109742,Greyhound X
11.71241159,Greyhound X
15.31279945,Greyhound X
16.30663929,Greyhound X
10.08339037,Greyhound X
