Age of Death,Type
10.10540726,Greyhound
10.43657312,Greyhound
11.80835044,Greyhound
4.410677618,Greyhound
4.709103354,Greyhound
5.002053388,Greyhound
7.742527949,Greyhound
7.857631759,Greyhound
7.219598449,Greyhound
11.39767283,Greyhound
12.1670089,Greyhound
13.50570386,Greyhound
12.50091262,Greyhound
11.79180926,Greyhound
12.31747661,Greyhound
12.32032854,Greyhound
12.55030801,Greyhound
12.6954141,Greyhound
13.17442391,Greyhound
13.44010951,Greyhound
13.51939311,Greyhound
13.54677162,Greyhound
13.62354552,Greyhound
10.82819986,Greyhound
5.648072097,Greyhound
6.179215149,Greyhound
8.45174538,Greyhound
8.481747661,Greyhound
8.552931782,Greyhound
8.58031029,Greyhound
8.678986995,Greyhound
8.919803787,Greyhound
8.930755191,Greyhound
9.137536188,Greyhound
9.700091262,Greyhound
10.06696327,Greyhound
10.35717545,Greyhound
10.63928816,Greyhound
10.65560119,Greyhound
11.08270591,Greyhound
11.30994752,Greyhound
11.79192334,Greyhound
11.83013917,Greyhound
12.01905088,Greyhound
12.04369154,Greyhound
12.47900981,Greyhound
13.11966689,Greyhound
14.00196637,Greyhound
8.353068674,Greyhound
9.555099247,Greyhound
8.919803787,Greyhound
9.00752909,Greyhound
7.969769564,Greyhound
8.517453799,Greyhound
9.763175907,Greyhound
10.83082364,Greyhound
11.12936345,Greyhound
11.5892083,Greyhound
11.9945243,Greyhound
13.33333333,Greyhound
7.370294319,Greyhound
9.045744924,Greyhound
13.44832307,Greyhound
7.947980835,Greyhound
9.924709103,Greyhound
9.998631075,Greyhound
10.21754506,Greyhound
10.25587497,Greyhound
10.93771389,Greyhound
10.9650924,Greyhound
10.97319188,Greyhound
10.97866758,Greyhound
11.3948209,Greyhound
11.51540041,Greyhound
11.55373032,Greyhound
11.69883641,Greyhound
11.72610084,Greyhound
11.77549624,Greyhound
11.84919005,Greyhound
11.99988592,Greyhound
11.99988592,Greyhound
12.0,Greyhound
12.00821355,Greyhound
12.49828884,Greyhound
12.5174538,Greyhound
12.57757244,Greyhound
12.66803559,Greyhound
12.68982432,Greyhound
12.69267625,Greyhound
12.73921971,Greyhound
12.77481177,Greyhound
12.86778462,Greyhound
12.8733744,Greyhound
12.89790098,Greyhound
12.93634497,Greyhound
12.97729865,Greyhound
13.00193931,Greyhound
13.01026694,Greyhound
13.11419119,Greyhound
13.25382158,Greyhound
13.42083048,Greyhound
13.50308008,Greyhound
13.53582021,Greyhound
13.63426877,Greyhound
13.6644992,Greyhound
