Age of Death,Type
2.882842802,Irish Staffordshire Bull Terrier
8.396874287,Irish Staffordshire Bull Terrier
12.96646133,Irish Staffordshire Bull Terrier
12.0,Irish Staffordshire Bull Terrier
9.431781885,Irish Staffordshire Bull Terrier
14.47227926,Irish Staffordshire Bull Terrier
8.763746292,Irish Staffordshire Bull Terrier
14.02315765,Irish Staffordshire Bull Terrier
8.802076204,Irish Staffordshire Bull Terrier
9.998631075,Irish Staffordshire Bull Terrier
9.053958476,Irish Staffordshire Bull Terrier
