Age of Death,Type
13.68651608,Jack Russell Terrier X
18.46012846,Jack Russell Terrier X
9.842459503,Jack Russell Terrier X
11.98083504,Jack Russell Terrier X
16.44353183,Jack Russell Terrier X
15.00057039,Jack Russell Terrier X
1.990417522,Jack Russell Terrier X
2.702258727,Jack Russell Terrier X
2.951289071,Jack Russell Terrier X
3.214236824,Jack Russell Terrier X
3.285420945,Jack Russell Terrier X
3.674081679,Jack Russell Terrier X
3.85204198,Jack Russell Terrier X
4.082135524,Jack Russell Terrier X
4.62696783,Jack Russell Terrier X
5.026694045,Jack Russell Terrier X
6.576317591,Jack Russell Terrier X
7.006160164,Jack Russell Terrier X
9.10323979,Jack Russell Terrier X
9.368925394,Jack Russell Terrier X
9.686402008,Jack Russell Terrier X
11.18674424,Jack Russell Terrier X
11.93143965,Jack Russell Terrier X
14.65012548,Jack Russell Terrier X
8.0,Jack Russell Terrier X
8.010951403,Jack Russell Terrier X
8.947296372,Jack Russell Terrier X
15.6386037,Jack Russell Terrier X
16.00536162,Jack Russell Terrier X
10.3708647,Jack Russell Terrier X
12.01083733,Jack Russell Terrier X
12.16689482,Jack Russell Terrier X
13.74663473,Jack Russell Terrier X
15.68788501,Jack Russell Terrier X
15.7452658,Jack Russell Terrier X
16.0,Jack Russell Terrier X
16.96234628,Jack Russell Terrier X
11.96440794,Jack Russell Terrier X
7.208647045,Jack Russell Terrier X
12.14772987,Jack Russell Terrier X
16.00536162,Jack Russell Terrier X
8.301049509,Jack Russell Terrier X
10.18469085,Jack Russell Terrier X
12.5174538,Jack Russell Terrier X
14.77059092,Jack Russell Terrier X
14.07791467,Jack Russell Terrier X
8.405201916,Jack Russell Terrier X
10.59548255,Jack Russell Terrier X
11.2332877,Jack Russell Terrier X
13.26214921,Jack Russell Terrier X
15.01152179,Jack Russell Terrier X
15.10746064,Jack Russell Terrier X
12.19712526,Jack Russell Terrier X
14.29705681,Jack Russell Terrier X
14.83082364,Jack Russell Terrier X
15.73716632,Jack Russell Terrier X
15.86299338,Jack Russell Terrier X
18.10803103,Jack Russell Terrier X
19.15947981,Jack Russell Terrier X
6.975929728,Jack Russell Terrier X
8.276408852,Jack Russell Terrier X
9.908281999,Jack Russell Terrier X
9.971252567,Jack Russell Terrier X
10.97319188,Jack Russell Terrier X
11.08270591,Jack Russell Terrier X
11.96703171,Jack Russell Terrier X
12.24629249,Jack Russell Terrier X
12.65434634,Jack Russell Terrier X
13.4974903,Jack Russell Terrier X
13.68377823,Jack Russell Terrier X
13.69187771,Jack Russell Terrier X
13.97125257,Jack Russell Terrier X
15.2332877,Jack Russell Terrier X
15.24551069,Jack Russell Terrier X
15.58099475,Jack Russell Terrier X
15.74264203,Jack Russell Terrier X
15.92048825,Jack Russell Terrier X
16.0,Jack Russell Terrier X
16.48996121,Jack Russell Terrier X
17.22370522,Jack Russell Terrier X
17.95744924,Jack Russell Terrier X
18.00136893,Jack Russell Terrier X
18.64738763,Jack Russell Terrier X
18.86652977,Jack Russell Terrier X
11.7616929,Jack Russell Terrier X
17.81781885,Jack Russell Terrier X
2.442048825,Jack Russell Terrier X
12.56114533,Jack Russell Terrier X
12.12856491,Jack Russell Terrier X
12.457107,Jack Russell Terrier X
12.60506502,Jack Russell Terrier X
13.07038558,Jack Russell Terrier X
16.00262377,Jack Russell Terrier X
16.52019165,Jack Russell Terrier X
18.5433493,Jack Russell Terrier X
11.42231348,Jack Russell Terrier X
8.355806525,Jack Russell Terrier X
11.46885695,Jack Russell Terrier X
13.3031029,Jack Russell Terrier X
0.194273329,Jack Russell Terrier X
0.19974903,Jack Russell Terrier X
0.319274374,Jack Russell Terrier X
1.557837098,Jack Russell Terrier X
2.882956879,Jack Russell Terrier X
4.365043634,Jack Russell Terrier X
5.144307552,Jack Russell Terrier X
5.790554415,Jack Russell Terrier X
6.351813826,Jack Russell Terrier X
6.45847593,Jack Russell Terrier X
7.110198494,Jack Russell Terrier X
8.073693817,Jack Russell Terrier X
8.539356605,Jack Russell Terrier X
9.103353867,Jack Russell Terrier X
9.248345882,Jack Russell Terrier X
9.483915127,Jack Russell Terrier X
9.500342231,Jack Russell Terrier X
9.820556696,Jack Russell Terrier X
10.0204198,Jack Russell Terrier X
10.1874287,Jack Russell Terrier X
10.27789185,Jack Russell Terrier X
10.88021903,Jack Russell Terrier X
11.20031942,Jack Russell Terrier X
11.23054985,Jack Russell Terrier X
11.33458818,Jack Russell Terrier X
11.50433493,Jack Russell Terrier X
11.92060233,Jack Russell Terrier X
12.00536162,Jack Russell Terrier X
12.00536162,Jack Russell Terrier X
12.11487566,Jack Russell Terrier X
12.38592288,Jack Russell Terrier X
12.48722336,Jack Russell Terrier X
12.51460187,Jack Russell Terrier X
12.54745608,Jack Russell Terrier X
12.55566963,Jack Russell Terrier X
