Age of Death,Type
13.045859,Jack Russell Terrier
9.522130961,Jack Russell Terrier
14.00125485,Jack Russell Terrier
16.03000228,Jack Russell Terrier
10.17659138,Jack Russell Terrier
10.37097878,Jack Russell Terrier
10.63096053,Jack Russell Terrier
11.72895277,Jack Russell Terrier
12.1011864,Jack Russell Terrier
12.19427333,Jack Russell Terrier
12.37223363,Jack Russell Terrier
13.33595711,Jack Russell Terrier
13.60711841,Jack Russell Terrier
13.62890714,Jack Russell Terrier
13.66176135,Jack Russell Terrier
14.00684463,Jack Russell Terrier
14.6884554,Jack Russell Terrier
14.7048825,Jack Russell Terrier
14.75427789,Jack Russell Terrier
15.99178645,Jack Russell Terrier
19.05806525,Jack Russell Terrier
11.54814054,Jack Russell Terrier
11.68229523,Jack Russell Terrier
11.01711157,Jack Russell Terrier
13.63449692,Jack Russell Terrier
13.96292494,Jack Russell Terrier
8.032740132,Jack Russell Terrier
8.95655636,Jack Russell Terrier
11.09639516,Jack Russell Terrier
11.75359343,Jack Russell Terrier
13.49212868,Jack Russell Terrier
13.70556696,Jack Russell Terrier
14.03684691,Jack Russell Terrier
14.2477755,Jack Russell Terrier
14.75701574,Jack Russell Terrier
10.62833676,Jack Russell Terrier
12.82683094,Jack Russell Terrier
1.385238421,Jack Russell Terrier
2.066963267,Jack Russell Terrier
2.129933835,Jack Russell Terrier
2.346338125,Jack Russell Terrier
2.395505362,Jack Russell Terrier
2.649058135,Jack Russell Terrier
2.778804472,Jack Russell Terrier
3.307209674,Jack Russell Terrier
3.756217203,Jack Russell Terrier
3.832991102,Jack Russell Terrier
3.852156057,Jack Russell Terrier
4.807551905,Jack Russell Terrier
5.281200091,Jack Russell Terrier
5.336071184,Jack Russell Terrier
5.440109514,Jack Russell Terrier
5.656285649,Jack Russell Terrier
5.839721652,Jack Russell Terrier
6.001254848,Jack Russell Terrier
6.083504449,Jack Russell Terrier
6.198380105,Jack Russell Terrier
6.557038558,Jack Russell Terrier
6.91295916,Jack Russell Terrier
7.030686744,Jack Russell Terrier
7.101984942,Jack Russell Terrier
7.115560119,Jack Russell Terrier
7.290782569,Jack Russell Terrier
7.509924709,Jack Russell Terrier
7.772644308,Jack Russell Terrier
7.862993384,Jack Russell Terrier
8.177846224,Jack Russell Terrier
8.249030345,Jack Russell Terrier
8.334017796,Jack Russell Terrier
9.002053388,Jack Russell Terrier
9.136094,Jack Russell Terrier
9.494752453,Jack Russell Terrier
10.0698152,Jack Russell Terrier
10.09707963,Jack Russell Terrier
10.25051335,Jack Russell Terrier
10.5269222,Jack Russell Terrier
11.0553274,Jack Russell Terrier
11.30994752,Jack Russell Terrier
11.53730322,Jack Russell Terrier
12.65434634,Jack Russell Terrier
12.73648186,Jack Russell Terrier
12.77207392,Jack Russell Terrier
12.91991786,Jack Russell Terrier
13.06490988,Jack Russell Terrier
13.38261465,Jack Russell Terrier
13.77401323,Jack Russell Terrier
13.91911932,Jack Russell Terrier
