Age of Death,Type
13.77127538,Jack Russell
14.67761807,Jack Russell
15.39219713,Jack Russell
9.650809948,Jack Russell
10.2696783,Jack Russell
10.83915127,Jack Russell
12.0109514,Jack Russell
14.71309605,Jack Russell
15.00068446,Jack Russell
10.98688113,Jack Russell
11.89869952,Jack Russell
11.18685832,Jack Russell
1.327857632,Jack Russell
3.214122747,Jack Russell
4.41889117,Jack Russell
4.459844855,Jack Russell
4.665297741,Jack Russell
4.769221994,Jack Russell
5.590691307,Jack Russell
5.590691307,Jack Russell
8.0,Jack Russell
8.134040611,Jack Russell
9.237394479,Jack Russell
10.81987223,Jack Russell
11.06365503,Jack Russell
11.32375086,Jack Russell
12.04642939,Jack Russell
13.23739448,Jack Russell
15.05544148,Jack Russell
12.0,Jack Russell
9.147045403,Jack Russell
13.11692904,Jack Russell
14.15742642,Jack Russell
15.54814054,Jack Russell
11.6440794,Jack Russell
12.04369154,Jack Russell
12.42710472,Jack Russell
13.72758385,Jack Russell
14.08612822,Jack Russell
14.770705,Jack Russell
12.74195756,Jack Russell
12.69267625,Jack Russell
14.37634041,Jack Russell
17.6425964,Jack Russell
1.565936573,Jack Russell
8.005475702,Jack Russell
12.93896874,Jack Russell
14.93212412,Jack Russell
15.44695414,Jack Russell
8.251768195,Jack Russell
15.88215834,Jack Russell
13.00193931,Jack Russell
14.0039927,Jack Russell
15.02521104,Jack Russell
0.235455168,Jack Russell
6.587154917,Jack Russell
11.74800365,Jack Russell
12.15594342,Jack Russell
13.00193931,Jack Russell
14.32705909,Jack Russell
14.62822268,Jack Russell
15.10472279,Jack Russell
15.99988592,Jack Russell
17.36344969,Jack Russell
8.093086927,Jack Russell
10.83629934,Jack Russell
10.94033767,Jack Russell
12.02726443,Jack Russell
12.38044718,Jack Russell
14.52703628,Jack Russell
15.20043349,Jack Russell
15.41136208,Jack Russell
16.98015058,Jack Russell
14.45300023,Jack Russell
15.24423911,Jack Russell
0.082021446,Jack Russell
3.783709788,Jack Russell
9.053958476,Jack Russell
10.2642026,Jack Russell
11.00889802,Jack Russell
11.26887976,Jack Russell
12.90337668,Jack Russell
13.11156742,Jack Russell
13.44273329,Jack Russell
13.45916039,Jack Russell
13.88352726,Jack Russell
14.51060917,Jack Russell
14.58715492,Jack Russell
16.11213781,Jack Russell
16.16427105,Jack Russell
16.20260096,Jack Russell
16.6844627,Jack Russell
16.70898928,Jack Russell
9.524982888,Jack Russell
12.49555099,Jack Russell
13.52760666,Jack Russell
9.368811316,Jack Russell
10.20933151,Jack Russell
11.98072097,Jack Russell
14.0039927,Jack Russell
15.04175222,Jack Russell
16.00262377,Jack Russell
16.04654346,Jack Russell
16.10392425,Jack Russell
16.28473648,Jack Russell
17.80424367,Jack Russell
20.32842802,Jack Russell
20.42984257,Jack Russell
7.008898015,Jack Russell
13.99030345,Jack Russell
11.57837098,Jack Russell
0.134040611,Jack Russell
3.550878394,Jack Russell
4.0,Jack Russell
5.513917408,Jack Russell
6.997946612,Jack Russell
7.39755875,Jack Russell
8.073807894,Jack Russell
8.856947296,Jack Russell
9.001939311,Jack Russell
9.04312115,Jack Russell
9.53045859,Jack Russell
10.00125485,Jack Russell
11.30184805,Jack Russell
11.43862651,Jack Russell
11.49623546,Jack Russell
12.02464066,Jack Russell
12.08487337,Jack Russell
12.55030801,Jack Russell
13.00467716,Jack Russell
13.00741501,Jack Russell
13.04300707,Jack Russell
13.31964408,Jack Russell
13.59890486,Jack Russell
13.8315081,Jack Russell
14.00125485,Jack Russell
14.00410678,Jack Russell
14.00410678,Jack Russell
14.275154,Jack Russell
14.92402464,Jack Russell
14.99794661,Jack Russell
15.00057039,Jack Russell
15.01163587,Jack Russell
15.02521104,Jack Russell
15.22792608,Jack Russell
15.42778919,Jack Russell
15.43588866,Jack Russell
15.5782569,Jack Russell
15.63301392,Jack Russell
15.97798312,Jack Russell
15.99988592,Jack Russell
16.04369154,Jack Russell
16.06011864,Jack Russell
16.9690851,Jack Russell
17.00479124,Jack Russell
17.08669861,Jack Russell
17.34702259,Jack Russell
17.50308008,Jack Russell
17.60985626,Jack Russell
17.71115674,Jack Russell
18.17385352,Jack Russell
18.57357974,Jack Russell
18.73226101,Jack Russell
19.00068446,Jack Russell
19.09913301,Jack Russell
20.00536162,Jack Russell
10.43109742,Jack Russell
9.226443076,Jack Russell
13.55772302,Jack Russell
13.84531143,Jack Russell
14.99235683,Jack Russell
16.25462012,Jack Russell
10.26146475,Jack Russell
4.292950034,Jack Russell
11.89310974,Jack Russell
15.49075975,Jack Russell
11.19769564,Jack Russell
16.9800365,Jack Russell
