Age of Death,Type
7.676933607,Japanese Akita
4.569472964,Japanese Akita
5.004677162,Japanese Akita
6.004106776,Japanese Akita
7.720625143,Japanese Akita
8.667921515,Japanese Akita
10.00125485,Japanese Akita
14.67202829,Japanese Akita
15.50981063,Japanese Akita
10.35728953,Japanese Akita
12.16141912,Japanese Akita
12.12320329,Japanese Akita
11.61932466,Japanese Akita
8.227241615,Japanese Akita
9.828770249,Japanese Akita
10.80629706,Japanese Akita
10.89926991,Japanese Akita
11.73442847,Japanese Akita
11.81382615,Japanese Akita
12.49269906,Japanese Akita
12.59399954,Japanese Akita
14.00125485,Japanese Akita
16.34770705,Japanese Akita
2.272416153,Japanese Akita
3.000570386,Japanese Akita
3.999885923,Japanese Akita
5.237394479,Japanese Akita
8.873260324,Japanese Akita
9.001939311,Japanese Akita
9.319530002,Japanese Akita
12.34485512,Japanese Akita
12.37497148,Japanese Akita
12.47353411,Japanese Akita
12.74731919,Japanese Akita
13.00205339,Japanese Akita
13.04026922,Japanese Akita
13.34702259,Japanese Akita
13.36059776,Japanese Akita
14.04791239,Japanese Akita
18.00125485,Japanese Akita
8.736481862,Japanese Akita
12.0,Japanese Akita
12.00262377,Japanese Akita
15.43874059,Japanese Akita
9.015742642,Japanese Akita
9.056696327,Japanese Akita
2.491444216,Japanese Akita
11.44957791,Japanese Akita
12.05738079,Japanese Akita
14.1874287,Japanese Akita
11.38113164,Japanese Akita
9.738421173,Japanese Akita
10.34633812,Japanese Akita
13.00193931,Japanese Akita
14.5159708,Japanese Akita
12.61042665,Japanese Akita
13.40999316,Japanese Akita
11.044376,Japanese Akita
7.685147159,Japanese Akita
9.010152863,Japanese Akita
10.42288387,Japanese Akita
12.8733744,Japanese Akita
13.00741501,Japanese Akita
13.14430755,Japanese Akita
14.49680584,Japanese Akita
7.999885923,Japanese Akita
10.03696099,Japanese Akita
9.335957107,Japanese Akita
7.216974675,Japanese Akita
10.9431896,Japanese Akita
12.20248688,Japanese Akita
6.715833904,Japanese Akita
15.35922884,Japanese Akita
11.57004335,Japanese Akita
14.40645676,Japanese Akita
12.05452886,Japanese Akita
12.51733972,Japanese Akita
9.864362309,Japanese Akita
10.8664157,Japanese Akita
10.56810404,Japanese Akita
