Age of Death,Type
12.99098791,King Charles Spaniel
7.435888661,King Charles Spaniel
11.13198722,King Charles Spaniel
13.84257358,King Charles Spaniel
10.16290212,King Charles Spaniel
13.87805156,King Charles Spaniel
9.667237052,King Charles Spaniel
12.38866073,King Charles Spaniel
14.98961898,King Charles Spaniel
11.21149897,King Charles Spaniel
13.908282,King Charles Spaniel
10.55977641,King Charles Spaniel
3.539926991,King Charles Spaniel
8.843143965,King Charles Spaniel
9.092288387,King Charles Spaniel
6.384668036,King Charles Spaniel
6.622861054,King Charles Spaniel
8.722792608,King Charles Spaniel
8.933607118,King Charles Spaniel
9.185375314,King Charles Spaniel
9.478325348,King Charles Spaniel
10.45026238,King Charles Spaniel
10.82534794,King Charles Spaniel
11.08544376,King Charles Spaniel
11.09091946,King Charles Spaniel
11.30720967,King Charles Spaniel
11.43326489,King Charles Spaniel
11.44136436,King Charles Spaniel
11.78633356,King Charles Spaniel
11.86025553,King Charles Spaniel
15.07449236,King Charles Spaniel
8.613278576,King Charles Spaniel
14.31063199,King Charles Spaniel
7.060803103,King Charles Spaniel
8.75553274,King Charles Spaniel
9.067761807,King Charles Spaniel
9.880903491,King Charles Spaniel
10.55715264,King Charles Spaniel
11.00057039,King Charles Spaniel
11.77264431,King Charles Spaniel
11.78097194,King Charles Spaniel
12.26557153,King Charles Spaniel
13.27310062,King Charles Spaniel
14.62548483,King Charles Spaniel
9.954825462,King Charles Spaniel
12.94992015,King Charles Spaniel
12.11761351,King Charles Spaniel
1.136208077,King Charles Spaniel
6.411932466,King Charles Spaniel
6.505019393,King Charles Spaniel
7.123773671,King Charles Spaniel
7.416723705,King Charles Spaniel
7.761806982,King Charles Spaniel
8.936344969,King Charles Spaniel
9.001939311,King Charles Spaniel
9.078599133,King Charles Spaniel
9.804129592,King Charles Spaniel
10.21492129,King Charles Spaniel
10.48311659,King Charles Spaniel
10.83915127,King Charles Spaniel
11.32254306,King Charles Spaniel
11.76728268,King Charles Spaniel
11.99988592,King Charles Spaniel
12.10392425,King Charles Spaniel
13.02395619,King Charles Spaniel
13.89721652,King Charles Spaniel
14.20385581,King Charles Spaniel
7.463381246,King Charles Spaniel
8.503650468,King Charles Spaniel
9.59890486,King Charles Spaniel
9.746634725,King Charles Spaniel
10.52680812,King Charles Spaniel
11.35101529,King Charles Spaniel
4.51186402,King Charles Spaniel
7.238877481,King Charles Spaniel
9.847935204,King Charles Spaniel
11.37018024,King Charles Spaniel
12.03011636,King Charles Spaniel
12.09844855,King Charles Spaniel
12.9690851,King Charles Spaniel
13.03753137,King Charles Spaniel
14.70762035,King Charles Spaniel
5.037531371,King Charles Spaniel
6.874629249,King Charles Spaniel
11.06365503,King Charles Spaniel
7.939767283,King Charles Spaniel
7.791809263,King Charles Spaniel
5.899954369,King Charles Spaniel
7.999885923,King Charles Spaniel
8.569358887,King Charles Spaniel
9.51939311,King Charles Spaniel
9.80698152,King Charles Spaniel
10.72689938,King Charles Spaniel
10.67202829,King Charles Spaniel
10.68571755,King Charles Spaniel
9.626283368,King Charles Spaniel
1.100501939,King Charles Spaniel
12.46532056,King Charles Spaniel
11.90406115,King Charles Spaniel
12.08487337,King Charles Spaniel
12.28188455,King Charles Spaniel
4.317590691,King Charles Spaniel
14.50513347,King Charles Spaniel
9.752224504,King Charles Spaniel
13.48665298,King Charles Spaniel
14.07791467,King Charles Spaniel
4.928131417,King Charles Spaniel
7.093771389,King Charles Spaniel
8.057380789,King Charles Spaniel
6.891056354,King Charles Spaniel
4.796714579,King Charles Spaniel
13.68913986,King Charles Spaniel
5.889002966,King Charles Spaniel
10.91581109,King Charles Spaniel
13.62628337,King Charles Spaniel
7.211384896,King Charles Spaniel
12.91718001,King Charles Spaniel
10.89105635,King Charles Spaniel
1.73020762,King Charles Spaniel
8.372347707,King Charles Spaniel
9.864476386,King Charles Spaniel
2.01950012,King Charles Spaniel
15.27435546,King Charles Spaniel
9.998516997,King Charles Spaniel
9.001939311,King Charles Spaniel
11.70157426,King Charles Spaniel
14.38455396,King Charles Spaniel
9.123413282,King Charles Spaniel
10.27777778,King Charles Spaniel
11.23602555,King Charles Spaniel
12.65423226,King Charles Spaniel
9.864476386,King Charles Spaniel
9.308578599,King Charles Spaniel
7.709787817,King Charles Spaniel
9.541409993,King Charles Spaniel
8.101186402,King Charles Spaniel
9.968514716,King Charles Spaniel
8.51186402,King Charles Spaniel
9.333219256,King Charles Spaniel
11.0498517,King Charles Spaniel
8.531028976,King Charles Spaniel
13.00193931,King Charles Spaniel
11.98083504,King Charles Spaniel
