Age of Death,Type
9.815195072,Labradoodle
13.26488706,Labradoodle
8.31211499,Labradoodle
8.380561259,Labradoodle
2.625484828,Labradoodle
6.327173169,Labradoodle
3.709787817,Labradoodle
7.709673739,Labradoodle
10.25598905,Labradoodle
12.14784394,Labradoodle
13.54414784,Labradoodle
10.61727128,Labradoodle
9.382614648,Labradoodle
2.518708647,Labradoodle
4.079283596,Labradoodle
4.761008442,Labradoodle
7.192334018,Labradoodle
7.986196669,Labradoodle
8.114875656,Labradoodle
8.380561259,Labradoodle
8.54745608,Labradoodle
9.765685603,Labradoodle
10.76511522,Labradoodle
10.88569473,Labradoodle
11.15674196,Labradoodle
1.776865161,Labradoodle
7.446954141,Labradoodle
7.797284965,Labradoodle
9.648186174,Labradoodle
5.081336984,Labradoodle
11.55909195,Labradoodle
12.49828884,Labradoodle
10.46680356,Labradoodle
10.0149441,Labradoodle
4.366872005,Labradoodle
4.709103354,Labradoodle
7.474218572,Labradoodle
8.941706594,Labradoodle
9.653661875,Labradoodle
2.376340406,Labradoodle
0.12856491,Labradoodle
5.147045403,Labradoodle
12.49007529,Labradoodle
9.990303445,Labradoodle
12.59126169,Labradoodle
2.061487566,Labradoodle
3.671343828,Labradoodle
5.894592745,Labradoodle
10.3599133,Labradoodle
8.771959845,Labradoodle
6.190166553,Labradoodle
11.227812,Labradoodle
10.41752225,Labradoodle
10.35717545,Labradoodle
0.167008898,Labradoodle
7.65229295,Labradoodle
11.56468172,Labradoodle
9.130732375,Labradoodle
10.51870865,Labradoodle
7.498859229,Labradoodle
10.63381246,Labradoodle
