Age of Death,Type
16.50365047,Labrador Retriever X
1.190851015,Labrador Retriever X
1.979466119,Labrador Retriever X
9.905430071,Labrador Retriever X
15.07175451,Labrador Retriever X
12.00262377,Labrador Retriever X
11.31268538,Labrador Retriever X
0.446269678,Labrador Retriever X
0.218913986,Labrador Retriever X
12.79397673,Labrador Retriever X
13.3031029,Labrador Retriever X
16.46258271,Labrador Retriever X
10.2587269,Labrador Retriever X
12.43258042,Labrador Retriever X
1.464636094,Labrador Retriever X
7.331850331,Labrador Retriever X
10.39835729,Labrador Retriever X
11.39767283,Labrador Retriever X
11.44147844,Labrador Retriever X
12.04106776,Labrador Retriever X
12.66529774,Labrador Retriever X
14.83082364,Labrador Retriever X
15.3893452,Labrador Retriever X
16.24081679,Labrador Retriever X
19.48528405,Labrador Retriever X
16.18069815,Labrador Retriever X
11.81918777,Labrador Retriever X
13.11419119,Labrador Retriever X
10.67202829,Labrador Retriever X
0.134040611,Labrador Retriever X
13.10609172,Labrador Retriever X
12.69803787,Labrador Retriever X
11.53718914,Labrador Retriever X
13.32774355,Labrador Retriever X
18.57905544,Labrador Retriever X
9.196326717,Labrador Retriever X
13.00193931,Labrador Retriever X
11.49064568,Labrador Retriever X
12.59411362,Labrador Retriever X
14.76511522,Labrador Retriever X
7.003308236,Labrador Retriever X
11.27983117,Labrador Retriever X
13.60438056,Labrador Retriever X
11.62753822,Labrador Retriever X
16.00262377,Labrador Retriever X
10.89664613,Labrador Retriever X
