Age of Death,Type
10.69952088,Labrador Retriever
12.70351358,Labrador Retriever
6.004106776,Labrador Retriever
10.92128679,Labrador Retriever
11.09924709,Labrador Retriever
11.88763404,Labrador Retriever
12.07095597,Labrador Retriever
13.27298654,Labrador Retriever
7.471480721,Labrador Retriever
7.7452658,Labrador Retriever
8.002737851,Labrador Retriever
8.960985626,Labrador Retriever
9.095026238,Labrador Retriever
10.00125485,Labrador Retriever
10.32432124,Labrador Retriever
10.70773443,Labrador Retriever
10.75690167,Labrador Retriever
11.09924709,Labrador Retriever
11.1266256,Labrador Retriever
11.28256902,Labrador Retriever
12.12594114,Labrador Retriever
12.55293178,Labrador Retriever
12.57768652,Labrador Retriever
12.92813142,Labrador Retriever
13.00193931,Labrador Retriever
13.01289071,Labrador Retriever
13.26488706,Labrador Retriever
13.99863107,Labrador Retriever
14.12172028,Labrador Retriever
14.44478668,Labrador Retriever
14.62833676,Labrador Retriever
14.8828428,Labrador Retriever
15.42767511,Labrador Retriever
11.42219941,Labrador Retriever
13.00193931,Labrador Retriever
13.10061602,Labrador Retriever
14.0149441,Labrador Retriever
7.709673739,Labrador Retriever
10.96235455,Labrador Retriever
11.08818161,Labrador Retriever
13.94113621,Labrador Retriever
15.00057039,Labrador Retriever
14.23123431,Labrador Retriever
3.29352042,Labrador Retriever
3.331850331,Labrador Retriever
3.999885923,Labrador Retriever
4.391398585,Labrador Retriever
8.271047228,Labrador Retriever
9.270248688,Labrador Retriever
10.04232261,Labrador Retriever
12.00273785,Labrador Retriever
13.48939083,Labrador Retriever
4.950034223,Labrador Retriever
6.57357974,Labrador Retriever
9.333333333,Labrador Retriever
13.88352726,Labrador Retriever
14.0039927,Labrador Retriever
11.12377367,Labrador Retriever
11.27173169,Labrador Retriever
11.05270363,Labrador Retriever
11.55909195,Labrador Retriever
6.138261465,Labrador Retriever
8.676249144,Labrador Retriever
10.78439425,Labrador Retriever
10.80082136,Labrador Retriever
13.08145106,Labrador Retriever
13.18537531,Labrador Retriever
