Age of Death,Type
16.59411362,Lurcher X
16.60780287,Lurcher X
3.67681953,Lurcher X
4.366757928,Lurcher X
4.982888433,Lurcher X
5.163472507,Lurcher X
9.705566963,Lurcher X
4.908852384,Lurcher X
15.93965321,Lurcher X
6.228496464,Lurcher X
9.505817933,Lurcher X
9.719256217,Lurcher X
10.64738763,Lurcher X
14.99794661,Lurcher X
14.99794661,Lurcher X
15.54277892,Lurcher X
16.21343828,Lurcher X
14.78428017,Lurcher X
11.46600502,Lurcher X
13.53582021,Lurcher X
15.44421629,Lurcher X
16.31200091,Lurcher X
17.3031029,Lurcher X
13.34417066,Lurcher X
9.169062286,Lurcher X
6.694045175,Lurcher X
8.629591604,Lurcher X
17.01836642,Lurcher X
17.43189596,Lurcher X
8.646018709,Lurcher X
6.951403149,Lurcher X
9.694729637,Lurcher X
4.005475702,Lurcher X
15.17864476,Lurcher X
16.15868127,Lurcher X
8.0,Lurcher X
8.235341091,Lurcher X
11.73442847,Lurcher X
5.820556696,Lurcher X
15.24971481,Lurcher X
4.019050878,Lurcher X
15.99988592,Lurcher X
